amenity_id,category,name,price,duration,description,availability,location,booking_required,min_notice_hours
AM000013,Fitness Services,Beach Fitness Adventure,70,60,"Achieve your wellness goals through our Beach Fitness Adventure, featuring 60 minutes of personalized exercise programming. This session is designed to targets your specific fitness goals, leaving you refreshed and motivated.",6:00-22:00,Spa & Wellness Center,True,24
AM000014,Fitness Services,Aqua Fitness Class,45,45,"Transform your fitness journey with our Aqua Fitness Class, a 45-minute session that boosts energy and vitality. Our certified trainers will progressive training methods, ensuring energized and accomplished.",6:00-22:00,In-room,False,24
AM000015,Room Service,Breakfast in Bed,45,30,"Savor the luxury of our Breakfast in Bed, a 30-minute culinary experience that satisfies your gourmet cravings. Our expert staff will careful temperature control, ensuring culinary delight.",8:00-20:00,Pool Area,True,1
AM000016,Room Service,Evening Dining,65,45,"Indulge in the convenience of our Evening Dining, where 45 minutes of professional service presentation brings satisfies your gourmet cravings, providing perfect satisfaction.",8:00-20:00,Main Building,False,0
AM000017,Room Service,Romantic Dinner Setup,150,120,"Indulge in the convenience of our Romantic Dinner Setup, where 120 minutes of careful temperature control brings satisfies your gourmet cravings, providing culinary delight.",By appointment only,In-room,False,24
AM000018,Room Service,Late Night Gourmet,55,30,"Savor the luxury of our Late Night Gourmet, a 30-minute culinary experience that satisfies your gourmet cravings. Our expert staff will careful temperature control, ensuring complete comfort and convenience.",By appointment only,Spa & Wellness Center,True,4
AM000019,Room Service,Dietary Specialist Menu,75,45,"Savor the luxury of our Dietary Specialist Menu, a 45-minute culinary experience that satisfies your gourmet cravings. Our expert staff will professional service presentation, ensuring a memorable dining experience.",6:00-22:00,Main Building,True,0
AM000020,Room Service,Celebration Package,200,60,"Savor the luxury of our Celebration Package, a 60-minute culinary experience that caters to your culinary preferences. Our expert staff will careful temperature control, ensuring perfect satisfaction.",8:00-20:00,Pool Area,False,24
AM000021,Luxury Water Sports,Private Yacht Charter with Crew,3000,480,"Embark on an unforgettable Private Yacht Charter with Crew, a 480-minute adventure that combines luxury with adventure. Our experienced team provides expert guidance and instruction, ensuring pure excitement and joy.",6:00-22:00,Main Building,True,24
AM000022,Luxury Water Sports,Scuba Diving Experience,400,240,"Embark on an unforgettable Scuba Diving Experience, a 240-minute adventure that provides exclusive water activities. Our experienced team provides personalized attention, ensuring complete satisfaction and adventure.",By appointment only,Spa & Wellness Center,False,24
AM000023,Entertainment Services,Private Movie Screening,300,180,"Immerse yourself in our Private Movie Screening, a 180-minute entertainment experience that transports you to another world. Our professional team delivers professional performance delivery, ensuring filled with joy and wonder.",24/7,In-room,True,24
AM000024,Entertainment Services,Live Music Performance,800,120,"Let us enchant you with our Live Music Performance, where 120 minutes of customized show programming creates delivers premium entertainment, delivering immersed in pure entertainment.",24/7,Pool Area,False,2
AM000025,Entertainment Services,Magic Show,600,60,"Let us enchant you with our Magic Show, where 60 minutes of state-of-the-art audiovisual systems creates transports you to another world, delivering filled with joy and wonder.",By appointment only,In-room,True,24
AM000026,Business Services,Private Conference Room,200,240,"Optimize your productivity with our Private Conference Room, a 240-minute service that supports your business needs. Our professional staff provides comprehensive business solutions, ensuring fully supported and equipped.",By appointment only,In-room,True,1
AM000027,Business Services,Executive Assistant Service,150,120,"Optimize your productivity with our Executive Assistant Service, a 120-minute service that maximizes productivity. Our professional staff provides comprehensive business solutions, ensuring optimally productive and efficient.",By appointment only,In-room,False,24
AM000028,Business Services,Business Center Access,50,60,"Enhance your business capabilities with our Business Center Access, featuring 60 minutes of professional technical support that streamlines your workflow, delivering fully supported and equipped.",24/7,Main Building,True,0
AM000029,Childcare Services,Kids Club Session,80,180,"Entrust your little ones to our Kids Club Session, a 180-minute program that promotes social interaction. Our certified caregivers use interactive play sessions, ensuring creatively stimulated.",6:00-22:00,Pool Area,True,4
AM000030,Childcare Services,Private Babysitting,100,240,"Give your children an amazing time with our Private Babysitting, where 240 minutes of interactive play sessions provides promotes social interaction, guaranteeing socially connected and happy.",6:00-22:00,Main Building,False,0
AM000031,Childcare Services,Children's Activity Program,120,120,"Give your children an amazing time with our Children's Activity Program, where 120 minutes of age-appropriate activities provides promotes social interaction, guaranteeing happily entertained and enriched.",6:00-22:00,Spa & Wellness Center,False,24
AM000032,Transportation Services,Airport Luxury Transfer,200,60,"Experience seamless travel with our Airport Luxury Transfer, where 60 minutes of personalized attention delivers delivers luxury transportation, guaranteeing comfortable and satisfied.",24/7,Pool Area,False,4
AM000033,Transportation Services,City Tour Service,400,240,"Travel in style with our City Tour Service, a 240-minute service that ensures timely arrivals. Our professional drivers provide personalized attention, ensuring refreshed upon arrival.",6:00-22:00,Pool Area,False,1
AM000034,Transportation Services,VIP Shopping Transfer,300,180,"Experience seamless travel with our VIP Shopping Transfer, where 180 minutes of personalized attention delivers provides comfortable transit, guaranteeing relaxed and punctual.",6:00-22:00,In-room,True,0
