booking_id,customer_id,room_number,room_type,check_in,check_out,duration_days,num_adults,num_children,loyalty_tier,special_amenities,special_requests,booking_status,payment_method,total_amount,points_earned
BK000033,2625,1507,Suite,2024-03-12 22:10:48,2024-03-19 10:10:48,5,1,1,Titanium,"Premium Welcome Gift, Custom Room Fragrance","Room with balcony requested, Away from elevator, Connecting rooms needed, Memory foam pillows requested, Feather-free bedding required, Crib needed for infant, Kosher meals required, In-room dining setup requested, Gluten-free meals required, Honeymoon package requested, Birthday surprise setup needed, Anniversary celebration - room decoration requested, Humidifier requested, Air purifier needed, Extra coffee supplies requested, Office supplies needed in room, Meeting room setup needed, Early check-in requested for business meeting, Luxury car rental assistance, Daily driver service requested, Helicopter transfer requested, Daily yoga session scheduling, Specific medical equipment storage, Spa appointment scheduling assistance",Checked-out,Mastercard,6157.9164713688115,24631
BK000034,37252,0321,Standard,2025-09-10 07:20:15,2025-09-20 13:00:15,10,2,0,Silver,"Premium WiFi, Welcome Drink",,Checked-out,Diners Club / Carte Blanche,3901.442110942707,5852
BK000035,2813,0805,Deluxe,2025-06-02 20:24:33,2025-06-13 14:00:33,11,3,0,Gold,"Executive Lounge Access, Evening Turndown Service",,Confirmed,JCB 16 digit,7275.787219205662,14551
BK000036,33917,0109,Standard,2025-01-16 22:21:33,2025-01-29 16:00:33,13,1,1,Platinum,"Evening Turndown Service, Premium Amenities",,Cancelled,JCB 16 digit,4606.725253830048,13820
BK000037,35984,1330,Suite,2024-12-19 09:42:23,2024-12-28 14:00:23,9,4,0,Gold,"Evening Turndown Service, Executive Lounge Access",,Cancelled,Mastercard,17999.26129561169,35998
BK000038,49784,1418,Suite,2025-05-28 08:56:04,2025-05-31 13:00:04,3,3,0,Silver,"Fruit Basket, Welcome Drink",,Cancelled,Mastercard,7375.843167217381,11063
BK000039,48500,1609,Suite,2025-12-02 18:44:17,2025-12-15 11:00:17,13,1,1,Bronze,"Welcome Drink, Basic WiFi",,Checked-out,VISA 13 digit,15075.929260151812,15075
BK000040,41298,0107,Standard,2025-05-04 10:34:17,2025-05-18 16:00:17,14,1,1,Platinum,"Evening Turndown Service, Premium Amenities",,Checked-in,Maestro,4641.352426847067,13924
BK000041,39020,1207,Suite,2025-06-21 21:03:47,2025-07-05 11:00:47,14,4,0,Bronze,"Basic WiFi, Welcome Drink","Accessible room required, Near swimming pool, King bed preferred, Roll-away bed requested, Vegetarian meals needed, Vegan menu requested, Wedding anniversary celebration, Romance package requested, International power adapter needed, Humidifier requested, Office supplies needed in room, Printing services required, Helicopter transfer requested, Luxury car rental assistance, Meditation cushion needed, Daily yoga session scheduling",Checked-out,JCB 16 digit,22836.61890555373,22836
BK000042,18822,1519,Suite,2025-03-04 00:45:45,2025-03-12 14:00:45,8,1,2,Gold,"Premium Welcome Drink, Evening Turndown Service",,Confirmed,JCB 15 digit,10142.55228459583,20285
BK000043,22563,1910,Presidential Suite,2025-05-20 15:32:00,2025-05-22 13:00:00,2,4,1,Silver,"Premium WiFi, Welcome Drink","Room with balcony requested, Quiet room requested, Extra pillows needed, Hypoallergenic bedding required, Late dinner service needed, Vegan menu requested, Wedding anniversary celebration, Proposal setup assistance needed, Specific brand toiletries requested, Extra hangers needed, Office supplies needed in room, Late check-out needed, Airport pickup requested, Daily driver service requested, Fitness equipment in room requested, Spa appointment scheduling assistance",Checked-out,VISA 19 digit,12996.782341095315,19495
BK000044,2420,0706,Deluxe,2024-02-25 13:39:18,2024-03-10 13:00:18,14,2,0,Silver,"Welcome Drink, Fruit Basket",,Cancelled,Discover,11002.519351599129,16503
BK000045,38918,0527,Deluxe,2024-01-23 13:53:58,2024-01-26 14:00:58,3,1,1,Gold,"Executive Lounge Access, Evening Turndown Service",,Checked-in,VISA 19 digit,2027.6931325532444,4055
BK000046,12515,1829,Presidential Suite,2024-08-04 08:39:50,2024-08-17 13:00:50,13,2,1,Silver,"Welcome Drink, Fruit Basket",,Checked-in,Maestro,67020.45013813183,100530
BK000047,4205,0519,Deluxe,2025-05-16 16:33:53,2025-05-18 13:00:53,2,2,0,Silver,"Welcome Drink, Fruit Basket",No special requests,Confirmed,VISA 16 digit,1159.1407056030203,1738
BK000048,43270,0111,Standard,2024-01-13 02:40:55,2024-01-23 11:00:55,10,1,0,Bronze,"Welcome Drink, Basic WiFi","Quiet room requested, Ocean view preferred, Corner room preferred, Feather-free bedding required, Hypoallergenic bedding required, Roll-away bed requested, Late dinner service needed, Vegan menu requested, Gluten-free meals required, Special occasion cake needed, Birthday surprise setup needed, Proposal setup assistance needed, Air purifier needed, Specific brand toiletries requested, Extra coffee supplies requested, Office supplies needed in room, Late check-out needed, Early check-in requested for business meeting, Luxury car rental assistance, Train station pickup needed, Private car service needed, Fitness equipment in room requested, Spa appointment scheduling assistance, Personal trainer session requested",Checked-in,VISA 16 digit,3537.8073729966463,3537
BK000049,23612,1810,Presidential Suite,2024-01-05 00:53:28,2024-01-12 11:00:28,7,3,1,Bronze,"Basic WiFi, Welcome Drink",,Confirmed,JCB 15 digit,36522.850972175525,36522
BK000050,43092,1709,Suite,2025-05-30 03:36:05,2025-05-31 16:00:05,1,2,0,Platinum,"Evening Turndown Service, Premium Amenities","Quiet room requested, Ocean view preferred, Hypoallergenic bedding required, Crib needed for infant, Late dinner service needed, Vegan menu requested, Anniversary celebration - room decoration requested, Special occasion cake needed, Yoga mat in room, Daily newspaper delivery, Late check-out needed, Meeting room setup needed, Helicopter transfer requested, Luxury car rental assistance, Air purifier due to allergies, Daily yoga session scheduling",Confirmed,Maestro,1537.0456357473304,4611
BK000051,11789,2024,Presidential Suite,2024-10-15 15:44:18,2024-10-20 16:00:18,5,4,1,Platinum,"Premium Amenities, Welcome Champagne",,Cancelled,JCB 16 digit,28406.789074153654,85220
BK000052,25999,1425,Suite,2024-07-04 16:14:43,2024-07-06 13:00:43,2,3,1,Silver,"Premium WiFi, Welcome Drink",,Cancelled,JCB 15 digit,5301.273379148563,7951
BK000053,9980,0806,Deluxe,2025-03-22 18:58:20,2025-03-24 16:00:20,2,1,2,Platinum,"Welcome Champagne, Evening Turndown Service",,Cancelled,Diners Club / Carte Blanche,1089.2971114462773,3267
BK000054,23121,1429,Suite,2024-09-24 05:53:51,2024-09-30 17:53:51,5,1,1,Titanium,"Personal Chef Available, Premium Welcome Gift",,Checked-out,JCB 15 digit,5598.595402048612,22394
BK000055,43164,0901,Deluxe,2025-12-07 01:45:30,2025-12-19 16:00:30,12,1,1,Platinum,"Evening Turndown Service, Premium Amenities",,Cancelled,Maestro,5372.357189989249,16117
BK000056,29017,1130,Deluxe,2024-09-03 10:01:42,2024-09-11 14:00:42,8,2,0,Gold,"Evening Turndown Service, Premium Welcome Drink","Accessible room required, Crib needed for infant, Gluten-free meals required, Special occasion cake needed, Extra hangers needed, Printing services required, Luxury car rental assistance, Personal trainer session requested",Confirmed,VISA 16 digit,6030.222328886589,12060
BK000057,5868,2003,Presidential Suite,2024-07-13 07:50:23,2024-07-14 11:00:23,1,4,0,Bronze,"Welcome Drink, Basic WiFi",,Checked-out,VISA 19 digit,6609.530687558087,6609
BK000058,29702,1710,Suite,2024-06-13 10:46:28,2024-06-15 22:46:28,1,4,0,Titanium,"Custom Room Fragrance, Private Butler Service","Ocean view preferred, Feather-free bedding required, Gluten-free meals required, Anniversary celebration - room decoration requested, Humidifier requested, Early check-in requested for business meeting, Airport pickup requested, Air purifier due to allergies",Confirmed,JCB 15 digit,2371.3459717904866,9485
BK000059,38475,1612,Suite,2024-06-17 01:15:24,2024-06-25 11:00:24,8,1,2,Bronze,"Welcome Drink, Basic WiFi",,Checked-in,VISA 19 digit,16407.464639409027,16407
BK000060,35917,1621,Suite,2025-04-23 06:10:35,2025-05-06 18:10:35,12,3,0,Titanium,"Custom Room Fragrance, Personal Chef Available",No special requests,Confirmed,Diners Club / Carte Blanche,13179.047506685438,52716
BK000061,42775,1804,Presidential Suite,2025-11-19 00:47:16,2025-11-22 14:00:16,3,2,0,Gold,"Evening Turndown Service, Executive Lounge Access",,Confirmed,VISA 16 digit,14686.27948253952,29372
BK000062,28173,0211,Standard,2024-06-23 19:09:04,2024-06-24 13:00:04,1,2,0,Silver,"Welcome Drink, Premium WiFi",,Checked-in,Mastercard,378.10442611804,567
BK000063,25337,1202,Suite,2024-02-29 09:27:46,2024-03-06 11:00:46,6,1,3,Bronze,"Basic WiFi, Welcome Drink","High floor room requested, Room with bathtub preferred, Extra blankets needed, Feather-free bedding required, Kosher meals required, Halal food only, Champagne and strawberries setup, Honeymoon package requested, Extra towels needed, International power adapter needed, Early check-in requested for business meeting, Office supplies needed in room, Airport pickup requested, Helicopter transfer requested, Specific medical equipment storage, Personal trainer session requested",Checked-in,Diners Club / Carte Blanche,10187.367060609407,10187
BK000064,43583,0515,Deluxe,2024-11-29 08:41:19,2024-11-30 13:00:19,1,1,0,Silver,"Fruit Basket, Premium WiFi",,Checked-out,Diners Club / Carte Blanche,463.6280330473279,695
BK000065,39210,0530,Deluxe,2024-11-12 14:04:30,2024-11-15 13:00:30,3,1,1,Silver,"Fruit Basket, Premium WiFi",,Checked-in,VISA 19 digit,1962.2294143242386,2943
BK000066,37555,1311,Suite,2025-12-14 18:34:17,2025-12-19 16:00:17,5,4,0,Platinum,"Premium Amenities, Welcome Champagne",No special requests,Confirmed,JCB 16 digit,10457.579107869999,31372
BK000067,8787,0715,Deluxe,2025-11-08 23:08:46,2025-11-19 13:00:46,11,2,1,Silver,"Premium WiFi, Fruit Basket",,Checked-in,VISA 16 digit,6869.398416513026,10304
BK000068,25786,0717,Deluxe,2025-10-23 09:26:02,2025-10-24 16:00:02,1,2,0,Platinum,"Welcome Champagne, Premium Amenities",,Cancelled,VISA 13 digit,712.9847007227118,2138
BK000069,24367,2020,Presidential Suite,2025-07-11 05:43:13,2025-07-20 13:00:13,9,1,2,Silver,"Premium WiFi, Welcome Drink",,Checked-in,VISA 19 digit,38658.62296153638,57987
BK000070,7227,0313,Standard,2024-01-13 18:08:15,2024-01-16 13:00:15,3,1,1,Silver,"Premium WiFi, Welcome Drink",,Confirmed,VISA 19 digit,1382.8789581060653,2074
BK000071,280,0230,Standard,2026-01-03 17:47:26,2026-01-16 16:00:26,13,2,0,Platinum,"Evening Turndown Service, Airport Transfer",,Confirmed,Maestro,5524.117656776116,16572
BK000072,27030,0407,Standard,2024-12-12 04:44:41,2024-12-21 16:00:41,9,1,0,Platinum,"Premium Amenities, Welcome Champagne",,Confirmed,Mastercard,2749.3338698541393,8248
BK000073,22280,0911,Deluxe,2025-11-24 21:31:08,2025-11-25 11:00:08,1,1,1,Bronze,"Welcome Drink, Basic WiFi",,Checked-in,JCB 15 digit,547.441841422009,547
BK000074,31612,0920,Deluxe,2024-05-12 00:59:13,2024-05-17 16:00:13,5,2,0,Platinum,"Evening Turndown Service, Welcome Champagne",,Confirmed,JCB 16 digit,3389.1677849303583,10167
BK000075,28379,2005,Presidential Suite,2025-09-09 23:56:17,2025-09-20 13:00:17,11,1,1,Silver,"Premium WiFi, Welcome Drink",,Checked-in,Maestro,52962.01630744326,79443
BK000076,19117,1828,Presidential Suite,2024-04-26 21:07:32,2024-05-10 11:00:32,14,1,0,Bronze,"Basic WiFi, Welcome Drink","Accessible room required, Connecting rooms needed, Hypoallergenic bedding required, Crib needed for infant, Vegetarian meals needed, Dairy-free diet restrictions, Champagne and strawberries setup, Birthday surprise setup needed, Humidifier requested, Extra towels needed, Printing services required, Office supplies needed in room, Daily driver service requested, Private car service needed, Specific medical equipment storage, Air purifier due to allergies",Cancelled,Mastercard,53291.469374639106,53291
BK000077,22927,0108,Standard,2024-08-15 15:12:21,2024-08-23 11:00:21,8,2,0,Bronze,"Welcome Drink, Basic WiFi","Away from elevator, High floor room requested, Quiet room requested, Roll-away bed requested, Hypoallergenic bedding required, Memory foam pillows requested, Dairy-free diet restrictions, Gluten-free meals required, Late dinner service needed, Wedding anniversary celebration, Special occasion cake needed, Honeymoon package requested, Extra hangers needed, Daily newspaper delivery, Humidifier requested, Printing services required, Office supplies needed in room, Business center access after hours, Luxury car rental assistance, Helicopter transfer requested, Train station pickup needed, Fitness equipment in room requested, Air purifier due to allergies, Meditation cushion needed",Checked-out,VISA 16 digit,3826.4866622909403,3826
BK000078,6555,0502,Deluxe,2024-07-30 13:40:55,2024-08-13 16:00:55,14,3,0,Platinum,"Welcome Champagne, Airport Transfer",,Confirmed,Mastercard,10498.761591315893,31496
BK000079,1708,1111,Deluxe,2024-07-14 23:56:28,2024-07-21 14:00:28,7,3,0,Gold,"Executive Lounge Access, Evening Turndown Service",,Cancelled,JCB 16 digit,4665.164884387133,9330
BK000080,10143,1904,Presidential Suite,2025-07-21 00:14:17,2025-07-26 16:00:17,5,1,2,Platinum,"Evening Turndown Service, Welcome Champagne",No special requests,Checked-in,American Express,19209.052143664754,57627
BK000081,27876,0320,Standard,2024-11-24 08:43:55,2024-12-08 11:00:55,14,1,1,Bronze,"Basic WiFi, Welcome Drink",,Cancelled,Diners Club / Carte Blanche,7217.191857963935,7217
BK000082,48388,0129,Standard,2025-03-06 15:26:31,2025-03-11 14:00:31,5,2,0,Gold,"Evening Turndown Service, Executive Lounge Access",,Checked-out,VISA 13 digit,2467.180462256219,4934
BK000083,38337,0722,Deluxe,2024-01-23 04:57:05,2024-02-01 14:00:05,9,2,0,Gold,"Executive Lounge Access, Premium Welcome Drink",,Confirmed,Maestro,6494.527967247636,12989
BK000084,16903,1308,Suite,2024-08-03 02:40:15,2024-08-10 16:00:15,7,1,0,Platinum,"Airport Transfer, Premium Amenities",,Checked-out,Discover,8974.222454658839,26922
BK000085,44978,1422,Suite,2024-11-22 10:17:31,2024-12-02 22:17:31,9,4,0,Titanium,"Private Butler Service, Luxury Airport Transfer",,Cancelled,VISA 19 digit,12494.131970890121,49976
BK000086,27900,1726,Suite,2024-02-01 15:00:29,2024-02-10 14:00:29,9,3,1,Gold,"Executive Lounge Access, Evening Turndown Service",,Cancelled,Discover,19779.24053470341,39558
BK000087,11501,1528,Suite,2025-04-04 14:06:08,2025-04-08 16:00:08,4,1,2,Platinum,"Welcome Champagne, Premium Amenities",,Checked-out,VISA 19 digit,4312.018550906292,12936
BK000088,29990,1227,Suite,2025-10-20 02:05:32,2025-11-04 14:05:32,14,1,0,Titanium,"Private Butler Service, Custom Room Fragrance",,Checked-in,VISA 16 digit,15725.228796928426,62900
BK000089,44489,0817,Deluxe,2025-12-24 16:13:05,2026-01-07 13:00:05,14,3,0,Silver,"Welcome Drink, Premium WiFi","Near swimming pool, Extra pillows needed, Vegetarian meals needed, Proposal setup assistance needed, Specific brand toiletries requested, Printing services required, Train station pickup needed, Spa appointment scheduling assistance",Cancelled,JCB 16 digit,10862.624185934388,16293
BK000090,39127,2008,Presidential Suite,2024-09-11 07:14:11,2024-09-18 13:00:11,7,3,2,Silver,"Welcome Drink, Premium WiFi",,Checked-in,JCB 16 digit,41583.14683382365,62374
BK000091,43798,0708,Deluxe,2024-09-25 15:22:09,2024-10-02 11:00:09,7,1,0,Bronze,"Basic WiFi, Welcome Drink",,Checked-in,VISA 19 digit,4233.270860820853,4233
BK000092,6722,0726,Deluxe,2025-07-15 00:45:48,2025-07-28 16:00:48,13,1,1,Platinum,"Airport Transfer, Premium Amenities",,Checked-out,VISA 19 digit,7887.446522071527,23662
BK000093,5894,1111,Deluxe,2025-04-07 13:58:06,2025-04-11 11:00:06,4,1,2,Bronze,"Basic WiFi, Welcome Drink",,Checked-out,VISA 16 digit,2815.863735159725,2815
BK000094,22268,1722,Suite,2024-08-01 23:04:59,2024-08-05 11:00:59,4,4,0,Bronze,"Basic WiFi, Welcome Drink",,Checked-in,Mastercard,12029.440145145598,12029
BK000095,18291,1813,Presidential Suite,2024-06-17 08:58:22,2024-06-23 13:00:22,6,1,3,Silver,"Welcome Drink, Premium WiFi",,Checked-out,Diners Club / Carte Blanche,33243.35296035491,49865
BK000096,43130,1902,Presidential Suite,2026-01-03 12:45:53,2026-01-11 11:00:53,8,2,2,Bronze,"Welcome Drink, Basic WiFi",,Checked-in,JCB 16 digit,51142.796336688596,51142
BK000097,9928,1024,Deluxe,2025-01-30 20:38:49,2025-02-08 14:00:49,9,2,0,Gold,"Executive Lounge Access, Premium Welcome Drink",,Checked-in,Diners Club / Carte Blanche,4780.919600889276,9561
BK000098,18246,1620,Suite,2024-05-17 08:42:13,2024-05-19 14:00:13,2,3,0,Gold,"Premium Welcome Drink, Executive Lounge Access",,Checked-in,JCB 16 digit,2406.0334627566544,4812
BK000099,22830,1927,Presidential Suite,2025-04-26 01:50:45,2025-05-01 14:00:45,5,4,0,Gold,"Evening Turndown Service, Premium Welcome Drink",,Cancelled,Discover,31253.246986290134,62506
BK000100,1683,1012,Deluxe,2024-09-14 17:31:19,2024-09-19 16:00:19,5,3,0,Platinum,"Welcome Champagne, Airport Transfer",,Confirmed,VISA 19 digit,4101.206042183217,12303
BK000101,19145,0608,Deluxe,2025-04-15 09:37:57,2025-04-24 14:00:57,9,2,1,Gold,"Evening Turndown Service, Executive Lounge Access",,Checked-out,VISA 16 digit,5333.086275594947,10666
BK000102,39315,0112,Standard,2024-09-12 07:52:15,2024-09-15 19:52:15,2,2,0,Titanium,"Custom Room Fragrance, Luxury Airport Transfer",,Confirmed,JCB 16 digit,646.9790667567486,2587
BK000103,25405,1820,Presidential Suite,2025-10-06 06:10:08,2025-10-19 18:10:08,12,2,1,Titanium,"Luxury Airport Transfer, Personal Chef Available",,Checked-out,American Express,48183.078246632314,192732
BK000104,27255,0627,Deluxe,2025-03-07 14:49:43,2025-03-14 11:00:43,7,3,0,Bronze,"Basic WiFi, Welcome Drink",,Confirmed,JCB 15 digit,5051.412371896019,5051
BK000105,39718,0223,Standard,2024-09-10 21:51:18,2024-09-11 13:00:18,1,2,0,Silver,"Welcome Drink, Premium WiFi",No special requests,Cancelled,Discover,505.7782497237247,758
BK000106,32877,1420,Suite,2025-04-04 18:45:04,2025-04-12 11:00:04,8,3,0,Bronze,"Welcome Drink, Basic WiFi",,Checked-out,VISA 16 digit,19733.44167370216,19733
BK000107,25726,0914,Deluxe,2025-01-08 21:16:53,2025-01-15 09:16:53,5,1,2,Titanium,"Premium Welcome Gift, Custom Room Fragrance",,Confirmed,Maestro,2251.2456286693955,9004
