room_id,room_number,floor,type,square_feet,basic_amenities,additional_amenities,max_occupancy,bed_type,view_type,accessibility,status,last_renovation,base_rate,max_rate
RM000060,0230,2,Standard,394,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']",['Courtyard View'],2,Queen,Courtyard View,False,Available,2022-07-18,350,500
RM000061,0301,3,Standard,397,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']",['Courtyard View'],2,Double Queen,Courtyard View,False,Available,2023-07-30,350,500
RM000062,0302,3,Standard,408,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Evening Turndown Service', 'Courtyard View', 'City View']",2,Double Queen,City View,False,Available,2022-10-15,350,500
RM000063,0303,3,Standard,432,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Courtyard View', 'Evening Turndown Service']",2,Double Queen,Courtyard View,True,Maintenance,2023-10-30,350,500
RM000064,0304,3,Standard,404,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Evening Turndown Service', 'Courtyard View', 'City View']",2,Queen,City View,False,Maintenance,2024-11-20,350,500
RM000065,0305,3,Standard,374,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']",['City View'],2,Double Queen,City View,False,Occupied,2024-01-08,350,500
RM000066,0306,3,Standard,364,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['City View', 'Evening Turndown Service', 'Courtyard View']",2,Double Queen,Courtyard View,False,Maintenance,2022-10-14,350,500
RM000067,0307,3,Standard,360,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']",['City View'],2,Queen,City View,False,Maintenance,2022-09-08,350,500
RM000068,0308,3,Standard,443,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Courtyard View', 'Evening Turndown Service', 'City View']",2,Double Queen,Courtyard View,False,Available,2024-08-28,350,500
RM000069,0309,3,Standard,421,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']",['Evening Turndown Service'],2,Double Queen,Standard View,False,Maintenance,2024-01-16,350,500
RM000070,0310,3,Standard,421,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']",['Courtyard View'],2,Queen,Courtyard View,False,Maintenance,2022-10-18,350,500
RM000071,0311,3,Standard,361,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Evening Turndown Service', 'City View', 'Courtyard View']",2,Double Queen,Evening Turndown Service,False,Available,2024-04-30,350,500
RM000072,0312,3,Standard,424,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Courtyard View', 'Evening Turndown Service']",2,Double Queen,Evening Turndown Service,False,Available,2024-02-15,350,500
RM000073,0313,3,Standard,364,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Evening Turndown Service', 'City View']",2,Queen,Evening Turndown Service,False,Maintenance,2024-10-12,350,500
RM000074,0314,3,Standard,398,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Courtyard View', 'City View', 'Evening Turndown Service']",2,Queen,Evening Turndown Service,False,Available,2023-05-12,350,500
RM000075,0315,3,Standard,351,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Courtyard View', 'City View', 'Evening Turndown Service']",2,Queen,Courtyard View,False,Maintenance,2022-06-25,350,500
RM000076,0316,3,Standard,414,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']",['City View'],2,Double Queen,City View,False,Occupied,2023-11-14,350,500
RM000077,0317,3,Standard,396,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Evening Turndown Service', 'Courtyard View', 'City View']",2,Queen,Evening Turndown Service,False,Occupied,2023-05-08,350,500
RM000078,0318,3,Standard,356,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['City View', 'Courtyard View', 'Evening Turndown Service']",2,Double Queen,Evening Turndown Service,False,Maintenance,2023-03-12,350,500
RM000079,0319,3,Standard,445,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['City View', 'Courtyard View', 'Evening Turndown Service']",2,Queen,City View,False,Maintenance,2023-03-28,350,500
RM000080,0320,3,Standard,418,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Evening Turndown Service', 'City View', 'Courtyard View']",2,Double Queen,Evening Turndown Service,False,Available,2023-04-20,350,500
RM000081,0321,3,Standard,437,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']",['City View'],2,Queen,City View,False,Occupied,2022-03-05,350,500
RM000082,0322,3,Standard,396,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['City View', 'Evening Turndown Service', 'Courtyard View']",2,Queen,Evening Turndown Service,False,Occupied,2023-04-06,350,500
RM000083,0323,3,Standard,353,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']",['City View'],2,Queen,City View,False,Available,2024-06-30,350,500
RM000084,0324,3,Standard,407,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']","['Evening Turndown Service', 'City View', 'Courtyard View']",2,Queen,City View,True,Available,2022-08-11,350,500
RM000085,0325,3,Standard,416,"['Air Conditioning', 'Smart TV', 'Premium Coffee Maker', 'Mini Fridge', 'Hair Dryer', 'In-Room Safe', 'Work Desk', 'High-Speed WiFi', 'Bathrobes', 'Slippers']",['Evening Turndown Service'],2,Double Queen,Standard View,False,Available,2024-05-23,350,500
