event_booking_id,customer_id,event_type,space_id,event_date,duration_hours,attendees,setup_requirements,additional_setup_notes,setup_start_time,setup_completion_time
EB000019,41081,Corporate Meeting,ES000002,2025-05-29 08:14:59,3,10,"Water and coffee station, Whiteboard setup, U-shaped table setup, Notepads and pens, Projector and screen, Conference phone, Whom with how system per.",,2025-05-29 05:14:59,2025-05-29 07:44:59
EB000020,25294,Wedding,ES000003,2025-07-24 00:21:05,7,213,"Dance floor installation, Gift table, Table arrangements for reception, Altar or arch setup, Photo booth area, Audio system for ceremony, Cake display table, Character kind science accept value think president know.",,2025-07-23 20:21:05,2025-07-23 23:51:05
EB000021,36163,Anniversary,ES000004,2025-03-22 23:45:53,3,97,"Intimate table setup, Decorative lighting, Photo display area, Dance floor, Gift table, Maybe ago range sing about situation.",,2025-03-22 19:45:53,2025-03-22 23:15:53
EB000022,14799,Birthday,ES000002,2025-01-25 10:20:04,3,49,"Round table setup, Cake table, Decorations installation, Gift table, Dance floor (optional), Photo area setup",,2025-01-25 07:20:04,2025-01-25 09:50:04
EB000023,33655,Conference,ES000004,2025-12-28 04:29:56,8,138,"Water station setup, Registration desk, Audio/Visual equipment, Projector and screen, Power strips for laptops, Theater-style seating",Church suddenly white still cost book. Of style stock avoid it. Example century involve beat two.,2025-12-28 00:29:56,2025-12-28 03:59:56
EB000024,34215,Corporate Meeting,ES000003,2025-12-22 21:22:01,3,9,"Conference phone, U-shaped table setup, Notepads and pens, Projector and screen, Water and coffee station, Activity data along that act might put author.",,2025-12-22 17:22:01,2025-12-22 20:52:01
EB000025,14222,Conference,ES000002,2025-03-22 19:21:08,5,116,"Podium and microphone, Whiteboard or flipchart, Theater-style seating, Power strips for laptops, Registration desk, Audio/Visual equipment",Friend future movement. Country six could. Way idea foreign door performance smile.,2025-03-22 17:21:08,2025-03-22 18:51:08
EB000026,29025,Conference,ES000003,2025-11-01 04:00:07,5,159,"Projector and screen, Water station setup, Podium and microphone, Audio/Visual equipment, Theater-style seating, Whiteboard or flipchart, Study challenge none house brother bad.",,2025-11-01 00:00:07,2025-11-01 03:30:07
EB000027,40553,Conference,ES000004,2025-03-16 16:34:14,5,172,"Whiteboard or flipchart, Audio/Visual equipment, Power strips for laptops, Theater-style seating, Projector and screen, Water station setup, Registration desk",Cup treatment or down. Road prepare could.,2025-03-16 14:34:14,2025-03-16 16:04:14
EB000028,44588,Corporate Meeting,ES000003,2025-02-08 23:10:02,2,45,"Whiteboard setup, Conference phone, Projector and screen, Notepads and pens, U-shaped table setup",,2025-02-08 19:10:02,2025-02-08 22:40:02
EB000029,30062,Birthday,ES000004,2025-01-16 07:18:27,3,26,"Gift table, Decorations installation, Basic audio system, Round table setup, Photo area setup, Dance floor (optional), Father fear who cause billion I yourself.",,2025-01-16 04:18:27,2025-01-16 06:48:27
EB000030,13004,Corporate Meeting,ES000004,2025-03-11 16:02:47,4,7,"Conference phone, Water and coffee station, U-shaped table setup, Projector and screen, Notepads and pens, Whiteboard setup, Safe mind rather late stop suddenly indicate.",Free hear stuff. Production about whole us for. Game conference customer.,2025-03-11 13:02:47,2025-03-11 15:32:47
EB000031,769,Corporate Meeting,ES000004,2025-11-30 08:42:20,1,25,"Water and coffee station, Conference phone, U-shaped table setup, Notepads and pens, Whiteboard setup",,2025-11-30 04:42:20,2025-11-30 08:12:20
EB000032,5124,Corporate Meeting,ES000003,2025-10-06 13:37:16,6,34,"Projector and screen, Notepads and pens, Whiteboard setup, Conference phone, Water and coffee station, U-shaped table setup",,2025-10-06 10:37:16,2025-10-06 13:07:16
EB000033,2748,Anniversary,ES000002,2025-01-17 04:47:17,4,139,"Dance floor, Intimate table setup, Gift table, Decorative lighting, Champagne station",,2025-01-17 00:47:17,2025-01-17 04:17:17
EB000034,36879,Wedding,ES000002,2025-10-30 02:25:31,5,112,"Audio system for ceremony, Bar setup, Cake display table, Gift table, Dance floor installation, Chair setup with aisle arrangement, Photo booth area, Table arrangements for reception",Four help serious learn. One before best rest window. Develop student wonder nice moment dinner.,2025-10-30 00:25:31,2025-10-30 01:55:31
EB000035,48445,Birthday,ES000001,2025-05-10 06:03:45,3,96,"Round table setup, Dance floor (optional), Basic audio system, Gift table, Decorations installation",,2025-05-10 03:03:45,2025-05-10 05:33:45
EB000036,27707,Birthday,ES000001,2025-04-18 01:36:26,4,88,"Photo area setup, Round table setup, Basic audio system, Gift table, Cake table, Sometimes learn by customer return place if pass.",,2025-04-17 22:36:26,2025-04-18 01:06:26
EB000037,8238,Conference,ES000003,2025-08-16 15:10:02,6,64,"Projector and screen, Whiteboard or flipchart, Podium and microphone, Water station setup, Registration desk, Theater-style seating, Power strips for laptops, Audio/Visual equipment",,2025-08-16 13:10:02,2025-08-16 14:40:02
EB000038,28607,Corporate Meeting,ES000004,2025-09-25 07:34:30,3,43,"Notepads and pens, Whiteboard setup, Projector and screen, Water and coffee station",,2025-09-25 05:34:30,2025-09-25 07:04:30
EB000039,37153,Corporate Meeting,ES000003,2025-05-13 04:12:16,4,11,"Projector and screen, U-shaped table setup, Notepads and pens, Conference phone, Water and coffee station, Relationship general him Congress between.","Pick like traditional suggest.
Source kid compare. Social school success task other.",2025-05-13 00:12:16,2025-05-13 03:42:16
EB000040,20636,Conference,ES000004,2025-12-19 09:46:53,3,43,"Water station setup, Audio/Visual equipment, Podium and microphone, Projector and screen, Power strips for laptops, Registration desk, Theater-style seating, Whiteboard or flipchart, Late term they since.",Suddenly this tough hair kind. Training score generation same. Medical baby notice pattern.,2025-12-19 06:46:53,2025-12-19 09:16:53
EB000041,20565,Anniversary,ES000004,2025-11-19 18:57:30,3,27,"Gift table, Dance floor, Intimate table setup, Photo display area, Champagne station, Decorative lighting",,2025-11-19 16:57:30,2025-11-19 18:27:30
EB000042,30256,Wedding,ES000002,2025-09-13 09:25:20,6,163,"Table arrangements for reception, Audio system for ceremony, Bar setup, Photo booth area, Gift table, Altar or arch setup, Dance floor installation",Hold street stand mouth. Decision church stay us. West five really sing clear huge follow.,2025-09-13 07:25:20,2025-09-13 08:55:20
EB000043,6349,Birthday,ES000002,2025-02-14 12:54:37,4,45,"Basic audio system, Decorations installation, Round table setup, Gift table, Photo area setup, Dance floor (optional)",Shoulder head Republican key parent. Air outside amount age heavy.,2025-02-14 09:54:37,2025-02-14 12:24:37
EB000044,37962,Corporate Meeting,ES000003,2025-03-18 03:49:20,1,29,"Water and coffee station, Notepads and pens, Projector and screen, Whiteboard setup",,2025-03-18 00:49:20,2025-03-18 03:19:20
EB000045,4761,Conference,ES000001,2025-06-25 15:09:38,7,137,"Podium and microphone, Water station setup, Audio/Visual equipment, Whiteboard or flipchart, Registration desk, Theater-style seating, Power strips for laptops",Rather blue instead option. Easy less expert.,2025-06-25 11:09:38,2025-06-25 14:39:38
EB000046,27833,Birthday,ES000001,2025-12-05 06:29:32,3,64,"Decorations installation, Photo area setup, Cake table, Dance floor (optional), Basic audio system, Gift table, Round table setup, Brother color own protect could however always.",,2025-12-05 03:29:32,2025-12-05 05:59:32
EB000047,6717,Birthday,ES000003,2025-09-23 07:07:35,4,37,"Photo area setup, Basic audio system, Gift table, Round table setup, Decorations installation, Cake table",,2025-09-23 04:07:35,2025-09-23 06:37:35
EB000048,31054,Corporate Meeting,ES000004,2025-06-28 10:24:45,3,25,"Projector and screen, Whiteboard setup, U-shaped table setup, Water and coffee station, Conference phone, Notepads and pens",,2025-06-28 07:24:45,2025-06-28 09:54:45
EB000049,6946,Birthday,ES000004,2025-09-14 06:10:21,2,100,"Photo area setup, Decorations installation, Dance floor (optional), Basic audio system, Round table setup, Cake table",,2025-09-14 04:10:21,2025-09-14 05:40:21
EB000050,757,Corporate Meeting,ES000002,2025-02-10 20:51:56,2,44,"Notepads and pens, Whiteboard setup, Projector and screen, U-shaped table setup, Water and coffee station, Conference phone",,2025-02-10 18:51:56,2025-02-10 20:21:56
EB000051,15811,Conference,ES000004,2025-12-15 03:49:00,8,128,"Registration desk, Theater-style seating, Water station setup, Projector and screen, Podium and microphone, Audio/Visual equipment","Hospital off similar letter plant camera.
Night expect finally level main itself.",2025-12-15 01:49:00,2025-12-15 03:19:00
EB000052,41863,Anniversary,ES000003,2025-08-12 14:27:56,5,149,"Gift table, Intimate table setup, Champagne station, Photo display area",,2025-08-12 12:27:56,2025-08-12 13:57:56
EB000053,35257,Birthday,ES000003,2025-10-20 01:53:29,3,53,"Cake table, Gift table, Decorations installation, Basic audio system, Round table setup, Photo area setup, Dance floor (optional), Several walk turn program low voice.",Particular door or your region over president. Free professional work lawyer.,2025-10-19 23:53:29,2025-10-20 01:23:29
EB000054,44387,Conference,ES000004,2025-06-18 17:35:01,4,84,"Audio/Visual equipment, Podium and microphone, Power strips for laptops, Theater-style seating, Registration desk, Whiteboard or flipchart",,2025-06-18 14:35:01,2025-06-18 17:05:01
EB000055,43812,Birthday,ES000002,2025-01-23 22:35:56,3,18,"Round table setup, Photo area setup, Dance floor (optional), Gift table, Basic audio system",,2025-01-23 18:35:56,2025-01-23 22:05:56
EB000056,21340,Conference,ES000003,2025-05-25 16:32:44,4,82,"Power strips for laptops, Whiteboard or flipchart, Projector and screen, Water station setup, Podium and microphone, Registration desk, Theater-style seating, Audio/Visual equipment, Eat accept forward free grow partner.",Future imagine area catch run. Apply during able north kid. Or especially stop training.,2025-05-25 14:32:44,2025-05-25 16:02:44
EB000057,28062,Anniversary,ES000001,2025-05-21 19:02:21,3,73,"Dance floor, Champagne station, Photo display area, Gift table",,2025-05-21 15:02:21,2025-05-21 18:32:21
EB000058,35852,Corporate Meeting,ES000001,2025-10-30 14:08:48,5,39,"Whiteboard setup, Projector and screen, Water and coffee station, U-shaped table setup",Live marriage protect else exactly house. Person add deep effect not general.,2025-10-30 11:08:48,2025-10-30 13:38:48
EB000059,8480,Corporate Meeting,ES000003,2025-10-10 04:35:30,1,25,"Water and coffee station, Conference phone, Projector and screen, U-shaped table setup, Whiteboard setup, Notepads and pens, Room speech skin relate since.",,2025-10-10 00:35:30,2025-10-10 04:05:30
EB000060,23484,Wedding,ES000002,2025-03-02 07:40:42,7,176,"Audio system for ceremony, Photo booth area, Table arrangements for reception, Gift table, Cake display table, Dance floor installation, Chair setup with aisle arrangement, Altar or arch setup, Bar setup",,2025-03-02 03:40:42,2025-03-02 07:10:42
EB000061,14469,Corporate Meeting,ES000001,2025-10-16 08:01:00,1,10,"Notepads and pens, Whiteboard setup, Conference phone, Projector and screen",Expect light show ball successful true he. Like deep federal reach.,2025-10-16 05:01:00,2025-10-16 07:31:00
EB000062,11920,Wedding,ES000002,2025-10-27 19:16:13,8,54,"Photo booth area, Bar setup, Table arrangements for reception, Dance floor installation, Altar or arch setup, Gift table, Cake display table, Chair setup with aisle arrangement, Audio system for ceremony",,2025-10-27 16:16:13,2025-10-27 18:46:13
EB000063,48915,Corporate Meeting,ES000003,2025-02-18 21:29:33,2,14,"Water and coffee station, Conference phone, Notepads and pens, Projector and screen, U-shaped table setup",,2025-02-18 17:29:33,2025-02-18 20:59:33
EB000064,48196,Conference,ES000002,2025-07-21 13:53:59,6,31,"Water station setup, Power strips for laptops, Podium and microphone, Projector and screen, Whiteboard or flipchart, Audio/Visual equipment, Registration desk, Remain involve class especially young card huge.",,2025-07-21 11:53:59,2025-07-21 13:23:59
EB000065,42330,Anniversary,ES000003,2025-04-25 17:37:13,3,136,"Decorative lighting, Gift table, Photo display area, Champagne station, Intimate table setup",,2025-04-25 13:37:13,2025-04-25 17:07:13
EB000066,8536,Corporate Meeting,ES000003,2025-03-01 05:31:57,2,10,"Conference phone, Projector and screen, Whiteboard setup, Notepads and pens",,2025-03-01 03:31:57,2025-03-01 05:01:57
EB000067,12871,Conference,ES000004,2025-09-19 09:52:54,8,111,"Theater-style seating, Projector and screen, Audio/Visual equipment, Podium and microphone, Water station setup, Registration desk, Describe character analysis west degree.",Statement nearly seek argue particular within rate. State crime collection table hair mean house.,2025-09-19 07:52:54,2025-09-19 09:22:54
EB000068,32696,Corporate Meeting,ES000004,2025-09-27 06:53:48,1,46,"Whiteboard setup, Notepads and pens, Conference phone, U-shaped table setup","Sign society do dinner.
Notice support if probably can to. Long popular which generation people.",2025-09-27 04:53:48,2025-09-27 06:23:48
EB000069,24523,Conference,ES000002,2025-06-21 04:29:34,6,177,"Podium and microphone, Power strips for laptops, Whiteboard or flipchart, Theater-style seating, Water station setup, Projector and screen",,2025-06-21 00:29:34,2025-06-21 03:59:34
EB000070,35464,Corporate Meeting,ES000003,2025-10-13 08:57:15,2,17,"Water and coffee station, Notepads and pens, Whiteboard setup, Conference phone, Projector and screen, U-shaped table setup",,2025-10-13 04:57:15,2025-10-13 08:27:15
EB000071,14391,Wedding,ES000002,2025-11-18 21:14:01,8,122,"Table arrangements for reception, Chair setup with aisle arrangement, Gift table, Photo booth area, Altar or arch setup, Bar setup, Audio system for ceremony",Fall news authority throughout. North service mean impact former natural.,2025-11-18 18:14:01,2025-11-18 20:44:01
EB000072,10319,Birthday,ES000003,2025-11-07 18:03:55,3,69,"Gift table, Round table setup, Decorations installation, Basic audio system, Cake table",Mrs industry imagine compare culture that into cost. Part art cup soldier stuff into.,2025-11-07 14:03:55,2025-11-07 17:33:55
EB000073,3726,Anniversary,ES000001,2025-05-06 06:11:45,6,42,"Photo display area, Dance floor, Gift table, Intimate table setup, Decorative lighting, Candidate finally next break town media.",,2025-05-06 03:11:45,2025-05-06 05:41:45
EB000074,19147,Birthday,ES000002,2025-08-31 13:41:22,4,88,"Decorations installation, Basic audio system, Cake table, Photo area setup, Gift table, Dance floor (optional), Round table setup",,2025-08-31 11:41:22,2025-08-31 13:11:22
EB000075,30733,Wedding,ES000001,2025-02-28 05:13:22,8,156,"Audio system for ceremony, Chair setup with aisle arrangement, Dance floor installation, Gift table, Bar setup, Table arrangements for reception, Photo booth area, Cake display table, Altar or arch setup, Night drop decision consumer medical start central.",,2025-02-28 03:13:22,2025-02-28 04:43:22
EB000076,39775,Wedding,ES000001,2025-05-29 10:21:41,6,169,"Bar setup, Audio system for ceremony, Table arrangements for reception, Altar or arch setup, Photo booth area, Dance floor installation, Cake display table, Chair setup with aisle arrangement, Gift table",Arrive member collection girl nation. Congress though his blue young.,2025-05-29 08:21:41,2025-05-29 09:51:41
EB000077,37093,Wedding,ES000002,2025-06-24 02:57:07,6,130,"Gift table, Cake display table, Dance floor installation, Bar setup, Photo booth area, Table arrangements for reception, Chair setup with aisle arrangement, Altar or arch setup, Audio system for ceremony, Fish city point billion.",,2025-06-23 23:57:07,2025-06-24 02:27:07
EB000078,24657,Corporate Meeting,ES000001,2025-08-01 18:46:34,4,19,"Projector and screen, Water and coffee station, Notepads and pens, Conference phone",,2025-08-01 15:46:34,2025-08-01 18:16:34
EB000079,25019,Anniversary,ES000004,2025-03-31 02:38:57,3,57,"Champagne station, Decorative lighting, Photo display area, Dance floor, Gift table, Intimate table setup",,2025-03-30 23:38:57,2025-03-31 02:08:57
EB000080,38197,Corporate Meeting,ES000002,2025-10-20 18:02:26,1,35,"Projector and screen, Whiteboard setup, Notepads and pens, Water and coffee station, Conference phone, U-shaped table setup",Energy fine whether prove during data growth finish. Teach son service any hotel suffer.,2025-10-20 16:02:26,2025-10-20 17:32:26
EB000081,30014,Wedding,ES000002,2025-09-07 21:07:37,6,204,"Photo booth area, Altar or arch setup, Dance floor installation, Bar setup, Chair setup with aisle arrangement, Gift table, Cake display table, Audio system for ceremony, Table arrangements for reception, Take candidate or modern meet.",,2025-09-07 19:07:37,2025-09-07 20:37:37
EB000082,36084,Birthday,ES000004,2025-06-10 17:11:29,4,23,"Cake table, Decorations installation, Round table setup, Photo area setup, Gift table, Dance floor (optional)",,2025-06-10 15:11:29,2025-06-10 16:41:29
EB000083,11594,Corporate Meeting,ES000003,2025-12-12 19:56:37,4,43,"U-shaped table setup, Projector and screen, Whiteboard setup, Water and coffee station, Notepads and pens, Month wonder almost.",Finish spend hear feel.,2025-12-12 15:56:37,2025-12-12 19:26:37
EB000084,40402,Corporate Meeting,ES000001,2025-01-07 17:41:29,3,22,"Conference phone, Whiteboard setup, Water and coffee station, Notepads and pens, U-shaped table setup",,2025-01-07 15:41:29,2025-01-07 17:11:29
EB000085,31286,Birthday,ES000001,2025-04-28 04:03:59,4,14,"Cake table, Round table setup, Dance floor (optional), Decorations installation, Photo area setup, Reflect civil smile.",,2025-04-28 00:03:59,2025-04-28 03:33:59
EB000086,34454,Wedding,ES000002,2025-12-11 06:49:14,6,236,"Chair setup with aisle arrangement, Photo booth area, Altar or arch setup, Dance floor installation, Table arrangements for reception, Gift table, Bar setup, Cake display table",,2025-12-11 03:49:14,2025-12-11 06:19:14
EB000087,6315,Conference,ES000004,2025-05-20 23:09:41,3,162,"Whiteboard or flipchart, Water station setup, Projector and screen, Podium and microphone, Registration desk, Power strips for laptops, Theater-style seating, Audio/Visual equipment, Short perhaps institution cold reduce understand form story.",,2025-05-20 20:09:41,2025-05-20 22:39:41
EB000088,32015,Anniversary,ES000002,2025-07-09 00:19:05,4,74,"Gift table, Decorative lighting, Champagne station, Dance floor, Popular standard final fall pull finish participant simply.",,2025-07-08 21:19:05,2025-07-08 23:49:05
EB000089,15052,Anniversary,ES000002,2025-07-14 03:15:40,4,135,"Intimate table setup, Gift table, Decorative lighting, Dance floor, Champagne station, Photo display area",Reveal usually ability case the.,2025-07-14 01:15:40,2025-07-14 02:45:40
EB000090,18339,Anniversary,ES000001,2025-03-14 21:14:39,6,91,"Photo display area, Intimate table setup, Decorative lighting, Gift table",,2025-03-14 19:14:39,2025-03-14 20:44:39
EB000091,19655,Conference,ES000002,2025-07-03 09:30:11,7,26,"Theater-style seating, Audio/Visual equipment, Water station setup, Registration desk, Power strips for laptops, Projector and screen, Whiteboard or flipchart",,2025-07-03 05:30:11,2025-07-03 09:00:11
EB000092,9796,Birthday,ES000003,2025-01-29 12:36:45,3,72,"Gift table, Round table setup, Decorations installation, Dance floor (optional), Photo area setup, Basic audio system, Sit defense outside one.",,2025-01-29 09:36:45,2025-01-29 12:06:45
EB000093,46781,Wedding,ES000004,2025-03-24 13:27:08,7,104,"Bar setup, Dance floor installation, Altar or arch setup, Cake display table, Photo booth area, Chair setup with aisle arrangement, Table arrangements for reception",Ago live movement work discuss two author structure. Candidate pass cell. Quite woman five economy.,2025-03-24 10:27:08,2025-03-24 12:57:08
EB000094,9052,Conference,ES000002,2025-09-02 16:19:03,4,168,"Audio/Visual equipment, Power strips for laptops, Water station setup, Registration desk, Whiteboard or flipchart, Podium and microphone, Theater-style seating",Forward anyone think others recent again me. Among amount cell bill send manage.,2025-09-02 14:19:03,2025-09-02 15:49:03
EB000095,6459,Anniversary,ES000004,2025-09-22 00:33:06,3,22,"Dance floor, Gift table, Champagne station, Decorative lighting, Photo display area, Intimate table setup",,2025-09-21 20:33:06,2025-09-22 00:03:06
EB000096,95,Corporate Meeting,ES000004,2025-04-16 22:26:49,5,32,"Water and coffee station, Notepads and pens, U-shaped table setup, Conference phone",Similar exactly teach least push challenge. Paper power report send benefit.,2025-04-16 18:26:49,2025-04-16 21:56:49
EB000097,49907,Anniversary,ES000003,2025-12-13 20:23:22,3,25,"Decorative lighting, Intimate table setup, Photo display area, Dance floor",Security huge expect suggest Congress. Half chair color seem despite drug.,2025-12-13 16:23:22,2025-12-13 19:53:22
EB000098,30958,Birthday,ES000003,2025-12-08 16:33:57,3,45,"Round table setup, Cake table, Dance floor (optional), Photo area setup, Gift table",,2025-12-08 12:33:57,2025-12-08 16:03:57
EB000099,33821,Conference,ES000001,2025-12-08 09:16:01,2,67,"Whiteboard or flipchart, Theater-style seating, Audio/Visual equipment, Registration desk, Water station setup, Power strips for laptops, Podium and microphone, Projector and screen",Economy simple individual American appear against.,2025-12-08 07:16:01,2025-12-08 08:46:01
EB000100,4846,Corporate Meeting,ES000001,2025-10-06 13:05:07,5,38,"Water and coffee station, Whiteboard setup, U-shaped table setup, Projector and screen, Notepads and pens",,2025-10-06 10:05:07,2025-10-06 12:35:07
EB000101,35070,Corporate Meeting,ES000003,2025-03-30 19:50:40,4,26,"Water and coffee station, U-shaped table setup, Notepads and pens, Whiteboard setup, Projector and screen, Age however white law.",,2025-03-30 16:50:40,2025-03-30 19:20:40
EB000102,7388,Anniversary,ES000003,2025-02-22 13:46:37,3,110,"Intimate table setup, Dance floor, Decorative lighting, Gift table, Champagne station, Photo display area, College despite first discussion leg itself pattern.","Phone rather authority red.
Science green military admit particular tend view.",2025-02-22 09:46:37,2025-02-22 13:16:37
EB000103,45759,Birthday,ES000004,2025-10-20 19:24:29,4,26,"Basic audio system, Dance floor (optional), Round table setup, Photo area setup, Decorations installation, Gift table, Cake table",,2025-10-20 15:24:29,2025-10-20 18:54:29
EB000104,28651,Birthday,ES000004,2025-10-06 13:51:36,3,49,"Decorations installation, Gift table, Cake table, Basic audio system, Round table setup, Photo area setup, Create maybe civil international arrive minute provide.",Than most star. Reduce candidate more support traditional. Hotel know eat.,2025-10-06 11:51:36,2025-10-06 13:21:36
EB000105,44540,Corporate Meeting,ES000001,2025-08-13 18:50:37,4,27,"Notepads and pens, Conference phone, Projector and screen, Whiteboard setup, Water and coffee station, U-shaped table setup, Likely parent live store.",War heavy fall old law note. Room million individual than PM garden.,2025-08-13 14:50:37,2025-08-13 18:20:37
EB000106,18203,Corporate Meeting,ES000002,2025-03-23 09:01:51,5,44,"Projector and screen, Whiteboard setup, U-shaped table setup, Conference phone",,2025-03-23 05:01:51,2025-03-23 08:31:51
EB000107,13253,Conference,ES000004,2025-11-12 02:19:19,4,68,"Whiteboard or flipchart, Power strips for laptops, Audio/Visual equipment, Theater-style seating, Projector and screen, Registration desk",Street daughter blue. Interesting speech bad police.,2025-11-11 22:19:19,2025-11-12 01:49:19
EB000108,31072,Wedding,ES000003,2025-08-03 13:51:26,6,202,"Altar or arch setup, Cake display table, Gift table, Bar setup, Chair setup with aisle arrangement, Table arrangements for reception, Dance floor installation, Audio system for ceremony, Photo booth area, Type type soon animal else.",Form specific require perform job. Source offer moment wind or each. Fire town east finish.,2025-08-03 10:51:26,2025-08-03 13:21:26
EB000109,24237,Corporate Meeting,ES000003,2025-05-03 11:17:15,6,36,"Water and coffee station, Notepads and pens, Projector and screen, U-shaped table setup, Conference phone, Whiteboard setup",,2025-05-03 07:17:15,2025-05-03 10:47:15
EB000110,1385,Anniversary,ES000004,2025-10-14 23:47:03,4,96,"Gift table, Photo display area, Intimate table setup, Dance floor, Decorative lighting, Champagne station",See most often board. Above true natural report director top financial.,2025-10-14 19:47:03,2025-10-14 23:17:03
EB000111,701,Birthday,ES000001,2025-02-27 15:53:03,4,75,"Round table setup, Gift table, Basic audio system, Cake table, Decorations installation, Photo area setup, Dance floor (optional)",,2025-02-27 11:53:03,2025-02-27 15:23:03
EB000112,37067,Corporate Meeting,ES000002,2025-01-14 14:25:52,2,44,"Notepads and pens, Whiteboard setup, Projector and screen, Conference phone, Water and coffee station, Method close federal minute stage white small.",,2025-01-14 10:25:52,2025-01-14 13:55:52
EB000113,2651,Corporate Meeting,ES000003,2025-05-23 23:16:03,2,25,"U-shaped table setup, Conference phone, Projector and screen, Water and coffee station, Whiteboard setup, Notepads and pens",Development deal key purpose western. Image adult worry appear interesting mean feel require.,2025-05-23 20:16:03,2025-05-23 22:46:03
EB000114,14457,Conference,ES000002,2025-07-27 16:59:03,6,198,"Whiteboard or flipchart, Registration desk, Podium and microphone, Water station setup, Projector and screen, Theater-style seating, Power strips for laptops, Audio/Visual equipment",,2025-07-27 13:59:03,2025-07-27 16:29:03
