feedback_id,booking_id,customer_id,rating,feedback_text,feedback_date,sentiment,category,subcategory,feedback_source,language,is_verified_stay,helpful_votes,satisfaction_scores,tags,status,response_required,response_text,staff_response,response_date,response_time_hours,resolved
FB000011,BK014514,16428,2,I regret to say that the room was unsatisfactory. could use updated furniture This fell well below standard. The amenities should be a priority for improvement. These issues should be resolved for future guests. Needs immediate attention and improvement.,2025-03-09 00:02:27,negative,room,amenities,in-person,fr,True,65,"{'cleanliness': 4, 'service': 4, 'value': 1, 'location': 5, 'amenities': 2}",maintenance,resolved,True,We're sorry to hear about your issues with our room. We value your feedback and take it seriously. We are continuously working to improve our services. Please contact our guest relations team to discuss this further.,We're sorry to hear about your issues with our room. We value your feedback and take it seriously. We are continuously working to improve our services. Please contact our guest relations team to discuss this further.,2025-03-10 06:02:27,30.0,True
FB000012,BK004550,2824,4,"The dining was adequate for my needs. excellent food quality While not exceptional, it met basic expectations. More attention to detail is needed. There's potential for improvement but it was acceptable overall. With some refinements, this could be excellent.",2024-11-21 00:43:03,neutral,dining,ambiance,email,en,True,80,"{'cleanliness': 4, 'service': 2, 'value': 1, 'location': 4, 'amenities': 1}",restaurant,resolved,False,Thank you for sharing your thoughts about our dining. We value your feedback and take it seriously. We are continuously working to improve our services.,,2024-11-22 20:43:03,44.0,True
FB000013,BK015481,20633,3,"The service was adequate for my needs. quick response to requests While not exceptional, it met basic expectations. Enhanced quality control measures are necessary. There's potential for improvement but it was acceptable overall. Hoping to see improvements on my next visit.",2025-12-30 11:00:11,neutral,service,housekeeping,mobile,ja,True,15,"{'cleanliness': 3, 'service': 4, 'value': 3, 'location': 4, 'amenities': 5}",service quality,resolved,True,We appreciate your honest feedback about our service. We value your feedback and take it seriously. We are continuously working to improve our services.,,2025-12-31 08:00:11,21.0,True
FB000014,BK018073,16869,4,"The room met standard expectations. air conditioning was inconsistent Nothing particularly stood out, either positively or negatively. Enhanced quality control measures are necessary. It served its purpose but left room for improvement. Hoping to see improvements on my next visit.",2026-01-04 14:00:47,neutral,room,noise,web,en,True,58,"{'cleanliness': 5, 'service': 5, 'value': 4, 'location': 4, 'amenities': 3}","maintenance, comfort, housekeeping",resolved,True,Thank you for sharing your thoughts about our room. We value your feedback and take it seriously. We are continuously working to improve our services.,Thank you for sharing your thoughts about our room. We value your feedback and take it seriously. We are continuously working to improve our services.,2026-01-06 01:00:47,35.0,True
FB000015,BK041282,40177,3,"The service met standard expectations. personalized attention Nothing particularly stood out, either positively or negatively. Enhanced quality control measures are necessary. It served its purpose but left room for improvement. Hoping to see improvements on my next visit.",2025-05-25 16:00:30,neutral,service,valet,web,de,True,16,"{'cleanliness': 1, 'service': 2, 'value': 4, 'location': 1, 'amenities': 1}",responsiveness,resolved,False,Thank you for your feedback regarding our service. We value your feedback and take it seriously. We are continuously working to improve our services.,Thank you for your feedback regarding our service. We value your feedback and take it seriously. We are continuously working to improve our services.,2025-05-26 12:00:30,20.0,True
FB000016,BK029894,7186,3,My experience with the room was mixed. air conditioning was inconsistent Some aspects were good while others needed attention. More consistent service standards are needed. It was generally satisfactory but could be better. Met basic needs but left room for improvement.,2024-07-02 14:00:57,neutral,room,amenities,phone,ja,True,76,"{'cleanliness': 2, 'service': 4, 'value': 3, 'location': 2, 'amenities': 5}","room quality, amenities",resolved,False,Thank you for your feedback regarding our room. We value your feedback and take it seriously. We are continuously working to improve our services.,,2024-07-02 14:00:57,0.0,True
FB000017,BK032140,42404,4,I had an exceptional dining experience during my stay. fresh ingredients The attention to detail was remarkable. The staff went above and beyond. I would definitely recommend this aspect of the hotel to others. A truly memorable experience worth repeating.,2025-09-07 14:00:08,positive,dining,food quality,in-person,fr,True,84,"{'cleanliness': 5, 'service': 4, 'value': 3, 'location': 1, 'amenities': 1}",service,resolved,True,Thank you for your wonderful feedback about our dining! We value your feedback and take it seriously. We look forward to welcoming you back soon.,Thank you for your wonderful feedback about our dining! We value your feedback and take it seriously. We look forward to welcoming you back soon.,2025-09-07 22:00:08,8.0,True
FB000018,BK007268,15950,4,"The service exceeded all my expectations. efficient check-in process Throughout my stay, I was consistently impressed. The level of service was outstanding. This level of quality really sets this hotel apart. Exactly what a luxury hotel should be.",2025-03-30 11:00:34,positive,service,housekeeping,mobile,en,True,37,"{'cleanliness': 3, 'service': 2, 'value': 1, 'location': 5, 'amenities': 3}","staff, service quality, responsiveness",resolved,False,Thank you for your wonderful feedback about our service! We value your feedback and take it seriously. We look forward to welcoming you back soon.,Thank you for your wonderful feedback about our service! We value your feedback and take it seriously. We look forward to welcoming you back soon.,2025-04-01 06:00:34,43.0,True
FB000019,BK041811,3986,3,"My experience with the dining was mixed. diverse menu options Some aspects were good while others needed attention. Enhanced quality control measures are necessary. It was generally satisfactory but could be better. Acceptable, though not outstanding.",2024-04-14 16:00:14,neutral,dining,value,web,zh,True,74,"{'cleanliness': 5, 'service': 1, 'value': 3, 'location': 1, 'amenities': 1}",service,resolved,False,Thank you for your feedback regarding our dining. We value your feedback and take it seriously. We are continuously working to improve our services.,Thank you for your feedback regarding our dining. We value your feedback and take it seriously. We are continuously working to improve our services.,2024-04-14 22:00:14,6.0,True
FB000020,BK032851,49915,5,I had an exceptional service experience during my stay. personalized attention The attention to detail was remarkable. Couldn't have asked for a better experience. I would definitely recommend this aspect of the hotel to others. Looking forward to my next stay here.,2026-01-05 14:00:10,positive,service,concierge,mobile,ja,True,15,"{'cleanliness': 1, 'service': 5, 'value': 1, 'location': 3, 'amenities': 2}",service quality,resolved,False,Thank you for your wonderful feedback about our service! We value your feedback and take it seriously. We look forward to welcoming you back soon.,,2026-01-06 01:00:10,11.0,True
FB000021,BK036223,29570,3,"My experience with the amenities was mixed. limited business center hours Some aspects were good while others needed attention. Better staff training would make a significant difference. It was generally satisfactory but could be better. Not bad, but not particularly memorable.",2024-04-03 09:02:43,neutral,amenities,spa,web,es,True,0,"{'cleanliness': 1, 'service': 1, 'value': 4, 'location': 4, 'amenities': 2}",amenities,resolved,False,We appreciate your honest feedback about our amenities. We value your feedback and take it seriously. We are continuously working to improve our services.,,2024-04-04 21:02:43,36.0,True
FB000022,BK007051,12116,5,What an outstanding dining experience! excellent food quality Every aspect was carefully thought out. The level of service was outstanding. It's rare to find this level of excellence. Exactly what a luxury hotel should be.,2025-12-06 11:34:06,positive,dining,food quality,phone,ja,True,56,"{'cleanliness': 4, 'service': 4, 'value': 3, 'location': 5, 'amenities': 3}","dining, service, restaurant",resolved,False,Your kind words about our dining mean a lot to us. We value your feedback and take it seriously. Please visit us again soon!,,2025-12-07 11:34:06,24.0,True
FB000023,BK000558,17561,5,What an outstanding dining experience! fresh ingredients Every aspect was carefully thought out. The attention to detail was truly remarkable. It's rare to find this level of excellence. Looking forward to my next stay here.,2024-04-29 16:00:56,positive,dining,service,mobile,en,True,48,"{'cleanliness': 2, 'service': 1, 'value': 1, 'location': 4, 'amenities': 1}","dining, menu, restaurant",resolved,True,Your kind words about our dining mean a lot to us. We value your feedback and take it seriously. Please visit us again soon!,Your kind words about our dining mean a lot to us. We value your feedback and take it seriously. Please visit us again soon!,2024-04-30 12:00:56,20.0,True
FB000024,BK009269,31112,5,What an outstanding dining experience! diverse menu options Every aspect was carefully thought out. Exemplary in every way possible. It's rare to find this level of excellence. I can't wait to visit again.,2025-01-30 06:11:27,positive,dining,menu variety,phone,zh,True,63,"{'cleanliness': 1, 'service': 4, 'value': 3, 'location': 2, 'amenities': 2}",food quality,resolved,False,Thank you for your wonderful feedback about our dining! We value your feedback and take it seriously. We look forward to welcoming you back soon.,Thank you for your wonderful feedback about our dining! We value your feedback and take it seriously. We look forward to welcoming you back soon.,2025-01-31 02:11:27,20.0,True
FB000025,BK019069,35732,4,"The service exceeded all my expectations. personalized attention Throughout my stay, I was consistently impressed. A perfect example of luxury hospitality. This level of quality really sets this hotel apart. A truly memorable experience worth repeating.",2025-02-26 14:00:37,positive,service,front desk,mobile,ja,True,0,"{'cleanliness': 4, 'service': 5, 'value': 4, 'location': 1, 'amenities': 5}","professionalism, staff, responsiveness",resolved,False,Thank you for your wonderful feedback about our service! We value your feedback and take it seriously. We look forward to welcoming you back soon.,Thank you for your wonderful feedback about our service! We value your feedback and take it seriously. We look forward to welcoming you back soon.,2025-02-27 17:00:37,27.0,True
FB000026,BK001783,14980,4,"The service exceeded all my expectations. personalized attention Throughout my stay, I was consistently impressed. The staff went above and beyond. This level of quality really sets this hotel apart. Exactly what a luxury hotel should be.",2025-05-20 11:00:50,positive,service,housekeeping,web,ja,True,82,"{'cleanliness': 1, 'service': 1, 'value': 5, 'location': 2, 'amenities': 2}",professionalism,resolved,False,We're delighted to hear about your experience with our service. We value your feedback and take it seriously. We hope to see you again!,We're delighted to hear about your experience with our service. We value your feedback and take it seriously. We hope to see you again!,2025-05-22 08:00:50,45.0,True
FB000027,BK038719,26659,3,"My experience with the dining was mixed. beautiful presentation Some aspects were good while others needed attention. Updated facilities would enhance the experience. It was generally satisfactory but could be better. Adequate for now, but there's room for growth.",2025-06-29 14:00:10,neutral,dining,food quality,phone,fr,True,88,"{'cleanliness': 4, 'service': 3, 'value': 3, 'location': 5, 'amenities': 3}",dining,resolved,True,We appreciate your honest feedback about our dining. We value your feedback and take it seriously. We are continuously working to improve our services.,,2025-06-30 18:00:10,28.0,True
FB000028,BK029919,49117,4,"The dining was adequate for my needs. excellent food quality While not exceptional, it met basic expectations. Regular maintenance would prevent these issues. There's potential for improvement but it was acceptable overall. Hoping to see improvements on my next visit.",2024-08-24 16:00:35,neutral,dining,value,web,zh,True,4,"{'cleanliness': 3, 'service': 2, 'value': 2, 'location': 3, 'amenities': 4}","dining, menu, service",resolved,False,Thank you for your feedback regarding our dining. We value your feedback and take it seriously. We are continuously working to improve our services.,,2024-08-24 17:00:35,1.0,True
FB000029,BK041685,49598,4,"The room exceeded all my expectations. modern amenities worked perfectly Throughout my stay, I was consistently impressed. The experience was absolutely flawless. This level of quality really sets this hotel apart. A truly memorable experience worth repeating.",2024-06-06 11:00:02,positive,room,comfort,mobile,zh,True,69,"{'cleanliness': 4, 'service': 3, 'value': 1, 'location': 5, 'amenities': 4}","housekeeping, maintenance, amenities",resolved,False,Your kind words about our room mean a lot to us. We value your feedback and take it seriously. Please visit us again soon!,Your kind words about our room mean a lot to us. We value your feedback and take it seriously. Please visit us again soon!,2024-06-07 12:00:02,25.0,True
FB000030,BK047896,22521,5,I can't say enough good things about the dining. fresh ingredients The quality was consistently high throughout my stay. A masterclass in customer service. This is exactly what you hope for in a luxury hotel. Looking forward to my next stay here.,2025-10-15 14:00:09,positive,dining,service,phone,de,True,39,"{'cleanliness': 1, 'service': 1, 'value': 5, 'location': 5, 'amenities': 4}","service, restaurant",resolved,True,Thank you for your wonderful feedback about our dining! We value your feedback and take it seriously. We look forward to welcoming you back soon.,Thank you for your wonderful feedback about our dining! We value your feedback and take it seriously. We look forward to welcoming you back soon.,2025-10-16 01:00:09,11.0,True
FB000031,BK045853,24478,5,"The dining exceeded all my expectations. authentic local cuisine Throughout my stay, I was consistently impressed. A perfect example of luxury hospitality. This level of quality really sets this hotel apart. Looking forward to my next stay here.",2025-05-29 08:00:17,positive,dining,value,mobile,fr,True,22,"{'cleanliness': 1, 'service': 1, 'value': 2, 'location': 2, 'amenities': 3}","food quality, menu",resolved,False,We're delighted to hear about your experience with our dining. We value your feedback and take it seriously. We hope to see you again!,We're delighted to hear about your experience with our dining. We value your feedback and take it seriously. We hope to see you again!,2025-05-30 13:00:17,29.0,True
FB000032,BK023611,18009,5,I had an exceptional dining experience during my stay. fresh ingredients The attention to detail was remarkable. The staff went above and beyond. I would definitely recommend this aspect of the hotel to others. Looking forward to my next stay here.,2025-01-09 16:00:45,positive,dining,value,mobile,de,True,59,"{'cleanliness': 5, 'service': 4, 'value': 3, 'location': 5, 'amenities': 4}","service, restaurant",resolved,False,Thank you for your wonderful feedback about our dining! We value your feedback and take it seriously. We look forward to welcoming you back soon.,Thank you for your wonderful feedback about our dining! We value your feedback and take it seriously. We look forward to welcoming you back soon.,2025-01-10 08:00:45,16.0,True
FB000033,BK000190,49714,4,"The amenities was adequate for my needs. wifi connectivity issues While not exceptional, it met basic expectations. Better staff training would make a significant difference. There's potential for improvement but it was acceptable overall. Met basic needs but left room for improvement.",2025-06-14 16:00:18,neutral,amenities,pool,web,zh,True,17,"{'cleanliness': 4, 'service': 3, 'value': 2, 'location': 2, 'amenities': 5}","availability, facilities, quality",resolved,False,Thank you for sharing your thoughts about our amenities. We value your feedback and take it seriously. We are continuously working to improve our services.,,2025-06-16 15:00:18,47.0,True
FB000034,BK046672,4547,3,The room aspect of my stay was problematic. needs better soundproofing This was a letdown given the hotel's reputation. The amenities should be a priority for improvement. I hope management will address these concerns. Expected much better from this caliber of hotel.,2024-06-08 13:00:14,negative,room,noise,email,zh,True,80,"{'cleanliness': 5, 'service': 1, 'value': 1, 'location': 5, 'amenities': 4}",comfort,resolved,True,We sincerely apologize for your experience with our room. We value your feedback and take it seriously. We are continuously working to improve our services. Please contact our guest relations team to discuss this further.,We sincerely apologize for your experience with our room. We value your feedback and take it seriously. We are continuously working to improve our services. Please contact our guest relations team to discuss this further.,2024-06-10 05:00:14,40.0,True
FB000035,BK010280,29089,3,"The service aspect of my stay was problematic. long wait times at reception This was a letdown given the hotel's reputation. Specifically, the room service needs to be addressed promptly. I hope management will address these concerns. Unfortunately, cannot recommend at this time.",2025-06-19 13:00:26,negative,service,concierge,web,zh,True,72,"{'cleanliness': 3, 'service': 2, 'value': 5, 'location': 1, 'amenities': 4}","hospitality, service quality",resolved,True,Please accept our apologies regarding our service. We value your feedback and take it seriously. We are continuously working to improve our services. Please contact our guest relations team to discuss this further.,Please accept our apologies regarding our service. We value your feedback and take it seriously. We are continuously working to improve our services. Please contact our guest relations team to discuss this further.,2025-06-21 12:00:26,47.0,True
FB000036,BK036998,38897,4,My experience with the service was mixed. friendly and helpful concierge Some aspects were good while others needed attention. More attention to detail is needed. It was generally satisfactory but could be better. Might consider staying again if improvements are made.,2024-05-07 14:00:10,neutral,service,housekeeping,mobile,fr,True,8,"{'cleanliness': 4, 'service': 2, 'value': 3, 'location': 1, 'amenities': 2}","service quality, staff, hospitality",resolved,False,Thank you for sharing your thoughts about our service. We value your feedback and take it seriously. We are continuously working to improve our services.,Thank you for sharing your thoughts about our service. We value your feedback and take it seriously. We are continuously working to improve our services.,2024-05-09 08:00:10,42.0,True
FB000037,BK043831,44283,5,I can't say enough good things about the service. personalized attention The quality was consistently high throughout my stay. A masterclass in customer service. This is exactly what you hope for in a luxury hotel. Exactly what a luxury hotel should be.,2024-02-16 15:45:11,positive,service,room service,mobile,en,True,69,"{'cleanliness': 5, 'service': 1, 'value': 5, 'location': 2, 'amenities': 5}",responsiveness,resolved,True,We're delighted to hear about your experience with our service. We value your feedback and take it seriously. We hope to see you again!,We're delighted to hear about your experience with our service. We value your feedback and take it seriously. We hope to see you again!,2024-02-18 01:45:11,34.0,True
FB000038,BK009373,13729,2,The dining aspect of my stay was problematic. portion sizes inconsistent This was a letdown given the hotel's reputation. Addressing the ambiance would greatly improve the experience. I hope management will address these concerns. Expected much better from this caliber of hotel.,2024-08-29 06:57:49,negative,dining,menu variety,phone,fr,True,69,"{'cleanliness': 1, 'service': 5, 'value': 1, 'location': 2, 'amenities': 2}","menu, food quality, dining",resolved,True,We sincerely apologize for your experience with our dining. We value your feedback and take it seriously. We are continuously working to improve our services. Please contact our guest relations team to discuss this further.,We sincerely apologize for your experience with our dining. We value your feedback and take it seriously. We are continuously working to improve our services. Please contact our guest relations team to discuss this further.,2024-08-30 03:57:49,21.0,True
FB000039,BK001299,21326,5,I can't say enough good things about the amenities. great spa services The quality was consistently high throughout my stay. Everything was handled with utmost professionalism. This is exactly what you hope for in a luxury hotel. I can't wait to visit again.,2025-09-17 16:00:54,positive,amenities,spa,email,en,True,60,"{'cleanliness': 5, 'service': 1, 'value': 4, 'location': 5, 'amenities': 1}","quality, facilities, maintenance",resolved,False,We're delighted to hear about your experience with our amenities. We value your feedback and take it seriously. We hope to see you again!,We're delighted to hear about your experience with our amenities. We value your feedback and take it seriously. We hope to see you again!,2025-09-18 00:00:54,8.0,True
FB000040,BK032064,26188,4,My experience with the service was mixed. quick response to requests Some aspects were good while others needed attention. Better staff training would make a significant difference. It was generally satisfactory but could be better. Might consider staying again if improvements are made.,2024-04-04 11:00:00,neutral,service,front desk,web,zh,True,93,"{'cleanliness': 1, 'service': 2, 'value': 4, 'location': 5, 'amenities': 3}","staff, professionalism, responsiveness",resolved,False,We appreciate your honest feedback about our service. We value your feedback and take it seriously. We are continuously working to improve our services.,,2024-04-05 11:00:00,24.0,True
FB000041,BK008707,30023,4,I had an exceptional dining experience during my stay. authentic local cuisine The attention to detail was remarkable. A masterclass in customer service. I would definitely recommend this aspect of the hotel to others. This experience has made me a loyal customer.,2025-11-21 11:00:23,positive,dining,value,in-person,zh,True,35,"{'cleanliness': 2, 'service': 3, 'value': 2, 'location': 3, 'amenities': 4}","menu, food quality",resolved,False,Thank you for your wonderful feedback about our dining! We value your feedback and take it seriously. We look forward to welcoming you back soon.,Thank you for your wonderful feedback about our dining! We value your feedback and take it seriously. We look forward to welcoming you back soon.,2025-11-22 04:00:23,17.0,True
FB000042,BK026190,40606,3,"The amenities was adequate for my needs. gym equipment outdated While not exceptional, it met basic expectations. Better staff training would make a significant difference. There's potential for improvement but it was acceptable overall. Would consider other options next time.",2024-12-21 16:00:39,neutral,amenities,gym,email,zh,True,21,"{'cleanliness': 3, 'service': 2, 'value': 4, 'location': 5, 'amenities': 3}",availability,resolved,False,Thank you for your feedback regarding our amenities. We value your feedback and take it seriously. We are continuously working to improve our services.,Thank you for your feedback regarding our amenities. We value your feedback and take it seriously. We are continuously working to improve our services.,2024-12-21 22:00:39,6.0,True
FB000043,BK032113,18815,4,"The amenities met standard expectations. clean and modern gym Nothing particularly stood out, either positively or negatively. More consistent service standards are needed. It served its purpose but left room for improvement. Met basic needs but left room for improvement.",2024-01-31 13:00:50,neutral,amenities,pool,phone,fr,True,50,"{'cleanliness': 2, 'service': 3, 'value': 4, 'location': 4, 'amenities': 4}",facilities,resolved,False,Thank you for your feedback regarding our amenities. We value your feedback and take it seriously. We are continuously working to improve our services.,Thank you for your feedback regarding our amenities. We value your feedback and take it seriously. We are continuously working to improve our services.,2024-02-01 13:00:50,24.0,True
FB000044,BK009939,11738,3,I was disappointed with the amenities experience. wifi connectivity issues This was not what I expected from a hotel of this caliber. Management should focus on resolving the wifi. Several issues need to be addressed. These issues really impacted our experience.,2025-01-05 11:00:35,negative,amenities,business center,in-person,ja,True,41,"{'cleanliness': 2, 'service': 2, 'value': 5, 'location': 1, 'amenities': 2}","facilities, availability",resolved,True,Please accept our apologies regarding our amenities. We value your feedback and take it seriously. We are continuously working to improve our services. Please contact our guest relations team to discuss this further.,Please accept our apologies regarding our amenities. We value your feedback and take it seriously. We are continuously working to improve our services. Please contact our guest relations team to discuss this further.,2025-01-05 15:00:35,4.0,True
FB000045,BK034274,41776,3,I regret to say that the amenities was unsatisfactory. pool area needs maintenance This fell well below standard. Management should focus on resolving the wifi. These issues should be resolved for future guests. Will need to see significant changes before returning.,2025-10-21 16:00:32,negative,amenities,pool,in-person,ja,True,2,"{'cleanliness': 4, 'service': 5, 'value': 3, 'location': 2, 'amenities': 4}","facilities, availability, amenities",resolved,True,We're sorry to hear about your issues with our amenities. We value your feedback and take it seriously. We are continuously working to improve our services. Please contact our guest relations team to discuss this further.,We're sorry to hear about your issues with our amenities. We value your feedback and take it seriously. We are continuously working to improve our services. Please contact our guest relations team to discuss this further.,2025-10-22 08:00:32,16.0,True
FB000046,BK025531,36058,2,I was disappointed with the service experience. staff seemed overwhelmed This was not what I expected from a hotel of this caliber. Addressing the housekeeping would greatly improve the experience. Several issues need to be addressed. Will need to see significant changes before returning.,2025-08-27 11:00:53,negative,service,housekeeping,phone,es,True,82,"{'cleanliness': 3, 'service': 3, 'value': 2, 'location': 4, 'amenities': 4}","staff, service quality, professionalism",pending,True,We're sorry to hear about your issues with our service. We value your feedback and take it seriously. We are continuously working to improve our services. Please contact our guest relations team to discuss this further.,We're sorry to hear about your issues with our service. We value your feedback and take it seriously. We are continuously working to improve our services. Please contact our guest relations team to discuss this further.,2025-08-29 06:00:53,43.0,False
FB000047,BK026091,29905,5,What an outstanding dining experience! excellent food quality Every aspect was carefully thought out. Sets the standard for luxury accommodations. It's rare to find this level of excellence. Looking forward to my next stay here.,2025-10-18 14:00:28,positive,dining,service,web,ja,True,17,"{'cleanliness': 3, 'service': 1, 'value': 3, 'location': 3, 'amenities': 3}","food quality, menu, service",resolved,False,Thank you for your wonderful feedback about our dining! We value your feedback and take it seriously. We look forward to welcoming you back soon.,Thank you for your wonderful feedback about our dining! We value your feedback and take it seriously. We look forward to welcoming you back soon.,2025-10-19 15:00:28,25.0,True
FB000048,BK022412,9694,4,"My experience with the amenities was mixed. limited business center hours Some aspects were good while others needed attention. More consistent service standards are needed. It was generally satisfactory but could be better. Acceptable, though not outstanding.",2025-12-11 14:00:40,neutral,amenities,business center,web,fr,True,78,"{'cleanliness': 3, 'service': 4, 'value': 4, 'location': 4, 'amenities': 5}",maintenance,resolved,False,Thank you for your feedback regarding our amenities. We value your feedback and take it seriously. We are continuously working to improve our services.,Thank you for your feedback regarding our amenities. We value your feedback and take it seriously. We are continuously working to improve our services.,2025-12-12 12:00:40,22.0,True
FB000049,BK035594,17811,5,I can't say enough good things about the amenities. clean and modern gym The quality was consistently high throughout my stay. Everything was handled with utmost professionalism. This is exactly what you hope for in a luxury hotel. This sets a new standard for excellence.,2024-12-21 01:13:19,positive,amenities,pool,web,ja,True,52,"{'cleanliness': 4, 'service': 3, 'value': 2, 'location': 2, 'amenities': 1}",quality,resolved,False,Thank you for your wonderful feedback about our amenities! We value your feedback and take it seriously. We look forward to welcoming you back soon.,Thank you for your wonderful feedback about our amenities! We value your feedback and take it seriously. We look forward to welcoming you back soon.,2024-12-22 07:13:19,30.0,True
