staff_id,date,shift,department
ST000596,2025-01-04 03:03:28.336604,Morning,Spa & Wellness
ST000227,2025-01-04 03:03:28.336604,Afternoon,Spa & Wellness
ST000079,2025-01-04 03:03:28.336604,Afternoon,Spa & Wellness
ST000142,2025-01-04 03:03:28.336604,Afternoon,Spa & Wellness
ST000956,2025-01-04 03:03:28.336604,Night,Spa & Wellness
ST000858,2025-01-04 03:03:28.336604,Night,Spa & Wellness
ST000367,2025-01-04 03:03:28.336604,Night,Spa & Wellness
ST000375,2025-01-05 03:03:28.336604,Morning,Security
ST000327,2025-01-05 03:03:28.336604,Morning,Security
ST000206,2025-01-05 03:03:28.336604,Morning,Security
ST000865,2025-01-05 03:03:28.336604,Afternoon,Security
ST000471,2025-01-05 03:03:28.336604,Afternoon,Security
ST000215,2025-01-05 03:03:28.336604,Afternoon,Security
ST000558,2025-01-05 03:03:28.336604,Night,Security
ST000001,2025-01-05 03:03:28.336604,Night,Security
ST000453,2025-01-05 03:03:28.336604,Night,Security
ST000836,2025-01-05 03:03:28.336604,Morning,Maintenance
ST000117,2025-01-05 03:03:28.336604,Morning,Maintenance
ST000063,2025-01-05 03:03:28.336604,Afternoon,Maintenance
ST000451,2025-01-05 03:03:28.336604,Afternoon,Maintenance
ST000890,2025-01-05 03:03:28.336604,Night,Maintenance
ST000234,2025-01-05 03:03:28.336604,Night,Maintenance
ST000443,2025-01-05 03:03:28.336604,Morning,Front Desk
ST000636,2025-01-05 03:03:28.336604,Morning,Front Desk
ST000771,2025-01-05 03:03:28.336604,Morning,Front Desk
ST000765,2025-01-05 03:03:28.336604,Afternoon,Front Desk
ST000181,2025-01-05 03:03:28.336604,Afternoon,Front Desk
ST000779,2025-01-05 03:03:28.336604,Afternoon,Front Desk
ST000998,2025-01-05 03:03:28.336604,Night,Front Desk
ST000299,2025-01-05 03:03:28.336604,Night,Front Desk
ST000971,2025-01-05 03:03:28.336604,Night,Front Desk
ST000541,2025-01-05 03:03:28.336604,Morning,Administration
ST000404,2025-01-05 03:03:28.336604,Morning,Administration
ST001000,2025-01-05 03:03:28.336604,Afternoon,Administration
ST000247,2025-01-05 03:03:28.336604,Afternoon,Administration
ST000481,2025-01-05 03:03:28.336604,Night,Administration
ST000295,2025-01-05 03:03:28.336604,Night,Administration
ST000086,2025-01-05 03:03:28.336604,Morning,Food & Beverage
ST000171,2025-01-05 03:03:28.336604,Morning,Food & Beverage
ST000165,2025-01-05 03:03:28.336604,Morning,Food & Beverage
ST000889,2025-01-05 03:03:28.336604,Morning,Food & Beverage
ST000223,2025-01-05 03:03:28.336604,Afternoon,Food & Beverage
ST000553,2025-01-05 03:03:28.336604,Afternoon,Food & Beverage
ST000031,2025-01-05 03:03:28.336604,Afternoon,Food & Beverage
ST000368,2025-01-05 03:03:28.336604,Afternoon,Food & Beverage
ST000638,2025-01-05 03:03:28.336604,Night,Food & Beverage
ST000456,2025-01-05 03:03:28.336604,Night,Food & Beverage
ST000807,2025-01-05 03:03:28.336604,Night,Food & Beverage
ST000889,2025-01-05 03:03:28.336604,Night,Food & Beverage
ST000038,2025-01-05 03:03:28.336604,Morning,Housekeeping
ST000331,2025-01-05 03:03:28.336604,Morning,Housekeeping
ST000067,2025-01-05 03:03:28.336604,Morning,Housekeeping
ST000806,2025-01-05 03:03:28.336604,Morning,Housekeeping
ST000845,2025-01-05 03:03:28.336604,Morning,Housekeeping
ST000284,2025-01-05 03:03:28.336604,Afternoon,Housekeeping
ST000989,2025-01-05 03:03:28.336604,Afternoon,Housekeeping
ST000831,2025-01-05 03:03:28.336604,Afternoon,Housekeeping
ST000148,2025-01-05 03:03:28.336604,Afternoon,Housekeeping
ST000312,2025-01-05 03:03:28.336604,Afternoon,Housekeeping
ST000073,2025-01-05 03:03:28.336604,Night,Housekeeping
ST000999,2025-01-05 03:03:28.336604,Night,Housekeeping
ST000231,2025-01-05 03:03:28.336604,Night,Housekeeping
ST000684,2025-01-05 03:03:28.336604,Night,Housekeeping
ST000593,2025-01-05 03:03:28.336604,Night,Housekeeping
ST000822,2025-01-05 03:03:28.336604,Morning,Spa & Wellness
ST000768,2025-01-05 03:03:28.336604,Morning,Spa & Wellness
ST000297,2025-01-05 03:03:28.336604,Morning,Spa & Wellness
ST000283,2025-01-05 03:03:28.336604,Afternoon,Spa & Wellness
ST000800,2025-01-05 03:03:28.336604,Afternoon,Spa & Wellness
ST000371,2025-01-05 03:03:28.336604,Afternoon,Spa & Wellness
ST000292,2025-01-05 03:03:28.336604,Night,Spa & Wellness
ST000407,2025-01-05 03:03:28.336604,Night,Spa & Wellness
ST000512,2025-01-05 03:03:28.336604,Night,Spa & Wellness
ST000675,2025-01-06 03:03:28.336604,Morning,Security
ST000809,2025-01-06 03:03:28.336604,Morning,Security
ST000522,2025-01-06 03:03:28.336604,Morning,Security
ST000778,2025-01-06 03:03:28.336604,Afternoon,Security
ST000501,2025-01-06 03:03:28.336604,Afternoon,Security
ST000944,2025-01-06 03:03:28.336604,Afternoon,Security
ST000445,2025-01-06 03:03:28.336604,Night,Security
ST000784,2025-01-06 03:03:28.336604,Night,Security
ST000244,2025-01-06 03:03:28.336604,Night,Security
ST000910,2025-01-06 03:03:28.336604,Morning,Maintenance
ST000430,2025-01-06 03:03:28.336604,Morning,Maintenance
ST000577,2025-01-06 03:03:28.336604,Afternoon,Maintenance
ST000507,2025-01-06 03:03:28.336604,Afternoon,Maintenance
ST000390,2025-01-06 03:03:28.336604,Night,Maintenance
ST000890,2025-01-06 03:03:28.336604,Night,Maintenance
ST000572,2025-01-06 03:03:28.336604,Morning,Front Desk
ST000726,2025-01-06 03:03:28.336604,Morning,Front Desk
ST000746,2025-01-06 03:03:28.336604,Morning,Front Desk
ST000054,2025-01-06 03:03:28.336604,Afternoon,Front Desk
ST000813,2025-01-06 03:03:28.336604,Afternoon,Front Desk
ST000414,2025-01-06 03:03:28.336604,Afternoon,Front Desk
ST000339,2025-01-06 03:03:28.336604,Night,Front Desk
ST000024,2025-01-06 03:03:28.336604,Night,Front Desk
ST000135,2025-01-06 03:03:28.336604,Night,Front Desk
ST000257,2025-01-06 03:03:28.336604,Morning,Administration
ST000328,2025-01-06 03:03:28.336604,Morning,Administration
ST000004,2025-01-06 03:03:28.336604,Afternoon,Administration
ST000892,2025-01-06 03:03:28.336604,Afternoon,Administration
ST000295,2025-01-06 03:03:28.336604,Night,Administration
ST000504,2025-01-06 03:03:28.336604,Night,Administration
ST000988,2025-01-06 03:03:28.336604,Morning,Food & Beverage
ST000733,2025-01-06 03:03:28.336604,Morning,Food & Beverage
ST000986,2025-01-06 03:03:28.336604,Morning,Food & Beverage
ST000588,2025-01-06 03:03:28.336604,Morning,Food & Beverage
ST000695,2025-01-06 03:03:28.336604,Afternoon,Food & Beverage
ST000233,2025-01-06 03:03:28.336604,Afternoon,Food & Beverage
ST000801,2025-01-06 03:03:28.336604,Afternoon,Food & Beverage
ST000955,2025-01-06 03:03:28.336604,Afternoon,Food & Beverage
ST000613,2025-01-06 03:03:28.336604,Night,Food & Beverage
ST000553,2025-01-06 03:03:28.336604,Night,Food & Beverage
ST000378,2025-01-06 03:03:28.336604,Night,Food & Beverage
ST000516,2025-01-06 03:03:28.336604,Night,Food & Beverage
ST000806,2025-01-06 03:03:28.336604,Morning,Housekeeping
ST000697,2025-01-06 03:03:28.336604,Morning,Housekeeping
ST000521,2025-01-06 03:03:28.336604,Morning,Housekeeping
ST000639,2025-01-06 03:03:28.336604,Morning,Housekeeping
ST000239,2025-01-06 03:03:28.336604,Morning,Housekeeping
ST000060,2025-01-06 03:03:28.336604,Afternoon,Housekeeping
ST000598,2025-01-06 03:03:28.336604,Afternoon,Housekeeping
ST000843,2025-01-06 03:03:28.336604,Afternoon,Housekeeping
ST000145,2025-01-06 03:03:28.336604,Afternoon,Housekeeping
ST000989,2025-01-06 03:03:28.336604,Afternoon,Housekeeping
ST000828,2025-01-06 03:03:28.336604,Night,Housekeeping
ST000397,2025-01-06 03:03:28.336604,Night,Housekeeping
ST000052,2025-01-06 03:03:28.336604,Night,Housekeeping
ST000202,2025-01-06 03:03:28.336604,Night,Housekeeping
ST000070,2025-01-06 03:03:28.336604,Night,Housekeeping
ST000071,2025-01-06 03:03:28.336604,Morning,Spa & Wellness
ST000886,2025-01-06 03:03:28.336604,Morning,Spa & Wellness
ST000794,2025-01-06 03:03:28.336604,Morning,Spa & Wellness
ST000469,2025-01-06 03:03:28.336604,Afternoon,Spa & Wellness
ST000822,2025-01-06 03:03:28.336604,Afternoon,Spa & Wellness
ST000191,2025-01-06 03:03:28.336604,Afternoon,Spa & Wellness
ST000617,2025-01-06 03:03:28.336604,Night,Spa & Wellness
ST000173,2025-01-06 03:03:28.336604,Night,Spa & Wellness
ST000555,2025-01-06 03:03:28.336604,Night,Spa & Wellness
ST000666,2025-01-07 03:03:28.336604,Morning,Security
ST000226,2025-01-07 03:03:28.336604,Morning,Security
ST000718,2025-01-07 03:03:28.336604,Morning,Security
ST000946,2025-01-07 03:03:28.336604,Afternoon,Security
ST000524,2025-01-07 03:03:28.336604,Afternoon,Security
ST000401,2025-01-07 03:03:28.336604,Afternoon,Security
ST000631,2025-01-07 03:03:28.336604,Night,Security
ST000560,2025-01-07 03:03:28.336604,Night,Security
ST000470,2025-01-07 03:03:28.336604,Night,Security
ST000507,2025-01-07 03:03:28.336604,Morning,Maintenance
ST000048,2025-01-07 03:03:28.336604,Morning,Maintenance
ST000604,2025-01-07 03:03:28.336604,Afternoon,Maintenance
ST000615,2025-01-07 03:03:28.336604,Afternoon,Maintenance
ST000159,2025-01-07 03:03:28.336604,Night,Maintenance
ST000413,2025-01-07 03:03:28.336604,Night,Maintenance
ST000594,2025-01-07 03:03:28.336604,Morning,Front Desk
ST000115,2025-01-07 03:03:28.336604,Morning,Front Desk
ST000526,2025-01-07 03:03:28.336604,Morning,Front Desk
ST000436,2025-01-07 03:03:28.336604,Afternoon,Front Desk
ST000028,2025-01-07 03:03:28.336604,Afternoon,Front Desk
ST000416,2025-01-07 03:03:28.336604,Afternoon,Front Desk
ST000659,2025-01-07 03:03:28.336604,Night,Front Desk
ST000440,2025-01-07 03:03:28.336604,Night,Front Desk
ST000436,2025-01-07 03:03:28.336604,Night,Front Desk
ST000525,2025-01-07 03:03:28.336604,Morning,Administration
ST000541,2025-01-07 03:03:28.336604,Morning,Administration
ST000110,2025-01-07 03:03:28.336604,Afternoon,Administration
ST000782,2025-01-07 03:03:28.336604,Afternoon,Administration
ST000041,2025-01-07 03:03:28.336604,Night,Administration
ST000892,2025-01-07 03:03:28.336604,Night,Administration
ST000261,2025-01-07 03:03:28.336604,Morning,Food & Beverage
ST000489,2025-01-07 03:03:28.336604,Morning,Food & Beverage
ST000747,2025-01-07 03:03:28.336604,Morning,Food & Beverage
ST000957,2025-01-07 03:03:28.336604,Morning,Food & Beverage
ST000383,2025-01-07 03:03:28.336604,Afternoon,Food & Beverage
ST000618,2025-01-07 03:03:28.336604,Afternoon,Food & Beverage
ST000329,2025-01-07 03:03:28.336604,Afternoon,Food & Beverage
ST000373,2025-01-07 03:03:28.336604,Afternoon,Food & Beverage
ST000171,2025-01-07 03:03:28.336604,Night,Food & Beverage
ST000362,2025-01-07 03:03:28.336604,Night,Food & Beverage
ST000309,2025-01-07 03:03:28.336604,Night,Food & Beverage
ST000233,2025-01-07 03:03:28.336604,Night,Food & Beverage
ST000029,2025-01-07 03:03:28.336604,Morning,Housekeeping
ST000428,2025-01-07 03:03:28.336604,Morning,Housekeeping
ST000873,2025-01-07 03:03:28.336604,Morning,Housekeeping
ST000776,2025-01-07 03:03:28.336604,Morning,Housekeeping
ST000567,2025-01-07 03:03:28.336604,Morning,Housekeeping
ST000758,2025-01-07 03:03:28.336604,Afternoon,Housekeeping
ST000374,2025-01-07 03:03:28.336604,Afternoon,Housekeeping
ST000038,2025-01-07 03:03:28.336604,Afternoon,Housekeeping
ST000843,2025-01-07 03:03:28.336604,Afternoon,Housekeeping
ST000276,2025-01-07 03:03:28.336604,Afternoon,Housekeeping
ST000285,2025-01-07 03:03:28.336604,Night,Housekeeping
ST000475,2025-01-07 03:03:28.336604,Night,Housekeeping
ST000684,2025-01-07 03:03:28.336604,Night,Housekeeping
ST000776,2025-01-07 03:03:28.336604,Night,Housekeeping
ST000014,2025-01-07 03:03:28.336604,Night,Housekeeping
ST000283,2025-01-07 03:03:28.336604,Morning,Spa & Wellness
ST000318,2025-01-07 03:03:28.336604,Morning,Spa & Wellness
ST000596,2025-01-07 03:03:28.336604,Morning,Spa & Wellness
ST000227,2025-01-07 03:03:28.336604,Afternoon,Spa & Wellness
ST000928,2025-01-07 03:03:28.336604,Afternoon,Spa & Wellness
ST000021,2025-01-07 03:03:28.336604,Afternoon,Spa & Wellness
ST000144,2025-01-07 03:03:28.336604,Night,Spa & Wellness
ST000056,2025-01-07 03:03:28.336604,Night,Spa & Wellness
ST000267,2025-01-07 03:03:28.336604,Night,Spa & Wellness
ST000141,2025-01-08 03:03:28.336604,Morning,Security
ST000675,2025-01-08 03:03:28.336604,Morning,Security
ST000668,2025-01-08 03:03:28.336604,Morning,Security
ST000953,2025-01-08 03:03:28.336604,Afternoon,Security
ST000463,2025-01-08 03:03:28.336604,Afternoon,Security
ST000524,2025-01-08 03:03:28.336604,Afternoon,Security
ST000796,2025-01-08 03:03:28.336604,Night,Security
ST000946,2025-01-08 03:03:28.336604,Night,Security
ST000936,2025-01-08 03:03:28.336604,Night,Security
ST000564,2025-01-08 03:03:28.336604,Morning,Maintenance
ST000706,2025-01-08 03:03:28.336604,Morning,Maintenance
ST000039,2025-01-08 03:03:28.336604,Afternoon,Maintenance
ST000161,2025-01-08 03:03:28.336604,Afternoon,Maintenance
ST000844,2025-01-08 03:03:28.336604,Night,Maintenance
ST000218,2025-01-08 03:03:28.336604,Night,Maintenance
ST000746,2025-01-08 03:03:28.336604,Morning,Front Desk
ST000023,2025-01-08 03:03:28.336604,Morning,Front Desk
ST000637,2025-01-08 03:03:28.336604,Morning,Front Desk
ST000199,2025-01-08 03:03:28.336604,Afternoon,Front Desk
ST000572,2025-01-08 03:03:28.336604,Afternoon,Front Desk
ST000344,2025-01-08 03:03:28.336604,Afternoon,Front Desk
ST000872,2025-01-08 03:03:28.336604,Night,Front Desk
ST000344,2025-01-08 03:03:28.336604,Night,Front Desk
ST000260,2025-01-08 03:03:28.336604,Night,Front Desk
ST000714,2025-01-08 03:03:28.336604,Morning,Administration
ST000349,2025-01-08 03:03:28.336604,Morning,Administration
ST000787,2025-01-08 03:03:28.336604,Afternoon,Administration
ST000220,2025-01-08 03:03:28.336604,Afternoon,Administration
ST000020,2025-01-08 03:03:28.336604,Night,Administration
ST000107,2025-01-08 03:03:28.336604,Night,Administration
ST000700,2025-01-08 03:03:28.336604,Morning,Food & Beverage
ST000347,2025-01-08 03:03:28.336604,Morning,Food & Beverage
ST000801,2025-01-08 03:03:28.336604,Morning,Food & Beverage
ST000702,2025-01-08 03:03:28.336604,Morning,Food & Beverage
ST000373,2025-01-08 03:03:28.336604,Afternoon,Food & Beverage
ST000815,2025-01-08 03:03:28.336604,Afternoon,Food & Beverage
ST000034,2025-01-08 03:03:28.336604,Afternoon,Food & Beverage
ST000568,2025-01-08 03:03:28.336604,Afternoon,Food & Beverage
ST000801,2025-01-08 03:03:28.336604,Night,Food & Beverage
ST000568,2025-01-08 03:03:28.336604,Night,Food & Beverage
ST000709,2025-01-08 03:03:28.336604,Night,Food & Beverage
ST000098,2025-01-08 03:03:28.336604,Night,Food & Beverage
ST000466,2025-01-08 03:03:28.336604,Morning,Housekeeping
ST000186,2025-01-08 03:03:28.336604,Morning,Housekeeping
ST000598,2025-01-08 03:03:28.336604,Morning,Housekeeping
ST000480,2025-01-08 03:03:28.336604,Morning,Housekeeping
ST000417,2025-01-08 03:03:28.336604,Morning,Housekeeping
ST000808,2025-01-08 03:03:28.336604,Afternoon,Housekeeping
ST000294,2025-01-08 03:03:28.336604,Afternoon,Housekeeping
ST000783,2025-01-08 03:03:28.336604,Afternoon,Housekeeping
ST000038,2025-01-08 03:03:28.336604,Afternoon,Housekeeping
ST000431,2025-01-08 03:03:28.336604,Afternoon,Housekeeping
ST000202,2025-01-08 03:03:28.336604,Night,Housekeeping
ST000294,2025-01-08 03:03:28.336604,Night,Housekeeping
ST000231,2025-01-08 03:03:28.336604,Night,Housekeeping
ST000357,2025-01-08 03:03:28.336604,Night,Housekeeping
ST000611,2025-01-08 03:03:28.336604,Night,Housekeeping
ST000973,2025-01-08 03:03:28.336604,Morning,Spa & Wellness
ST000510,2025-01-08 03:03:28.336604,Morning,Spa & Wellness
ST000794,2025-01-08 03:03:28.336604,Morning,Spa & Wellness
ST000472,2025-01-08 03:03:28.336604,Afternoon,Spa & Wellness
ST000033,2025-01-08 03:03:28.336604,Afternoon,Spa & Wellness
ST000176,2025-01-08 03:03:28.336604,Afternoon,Spa & Wellness
ST000532,2025-01-08 03:03:28.336604,Night,Spa & Wellness
ST000798,2025-01-08 03:03:28.336604,Night,Spa & Wellness
ST000927,2025-01-08 03:03:28.336604,Night,Spa & Wellness
ST000718,2025-01-09 03:03:28.336604,Morning,Security
ST000019,2025-01-09 03:03:28.336604,Morning,Security
ST000150,2025-01-09 03:03:28.336604,Morning,Security
ST000399,2025-01-09 03:03:28.336604,Afternoon,Security
ST000673,2025-01-09 03:03:28.336604,Afternoon,Security
ST000953,2025-01-09 03:03:28.336604,Afternoon,Security
ST000450,2025-01-09 03:03:28.336604,Night,Security
ST000595,2025-01-09 03:03:28.336604,Night,Security
ST000372,2025-01-09 03:03:28.336604,Night,Security
ST000011,2025-01-09 03:03:28.336604,Morning,Maintenance
ST000880,2025-01-09 03:03:28.336604,Morning,Maintenance
ST000578,2025-01-09 03:03:28.336604,Afternoon,Maintenance
ST000704,2025-01-09 03:03:28.336604,Afternoon,Maintenance
ST000661,2025-01-09 03:03:28.336604,Night,Maintenance
ST000474,2025-01-09 03:03:28.336604,Night,Maintenance
ST000619,2025-01-09 03:03:28.336604,Morning,Front Desk
ST000344,2025-01-09 03:03:28.336604,Morning,Front Desk
ST000746,2025-01-09 03:03:28.336604,Morning,Front Desk
ST000139,2025-01-09 03:03:28.336604,Afternoon,Front Desk
ST000969,2025-01-09 03:03:28.336604,Afternoon,Front Desk
ST000540,2025-01-09 03:03:28.336604,Afternoon,Front Desk
ST000433,2025-01-09 03:03:28.336604,Night,Front Desk
ST000793,2025-01-09 03:03:28.336604,Night,Front Desk
ST000054,2025-01-09 03:03:28.336604,Night,Front Desk
ST000632,2025-01-09 03:03:28.336604,Morning,Administration
ST000892,2025-01-09 03:03:28.336604,Morning,Administration
ST000632,2025-01-09 03:03:28.336604,Afternoon,Administration
ST000705,2025-01-09 03:03:28.336604,Afternoon,Administration
ST000437,2025-01-09 03:03:28.336604,Night,Administration
ST000727,2025-01-09 03:03:28.336604,Night,Administration
ST000203,2025-01-09 03:03:28.336604,Morning,Food & Beverage
ST000613,2025-01-09 03:03:28.336604,Morning,Food & Beverage
ST000902,2025-01-09 03:03:28.336604,Morning,Food & Beverage
ST000983,2025-01-09 03:03:28.336604,Morning,Food & Beverage
ST000457,2025-01-09 03:03:28.336604,Afternoon,Food & Beverage
ST000586,2025-01-09 03:03:28.336604,Afternoon,Food & Beverage
ST000576,2025-01-09 03:03:28.336604,Afternoon,Food & Beverage
ST000605,2025-01-09 03:03:28.336604,Afternoon,Food & Beverage
ST000907,2025-01-09 03:03:28.336604,Night,Food & Beverage
ST000764,2025-01-09 03:03:28.336604,Night,Food & Beverage
ST000988,2025-01-09 03:03:28.336604,Night,Food & Beverage
ST000223,2025-01-09 03:03:28.336604,Night,Food & Beverage
ST000567,2025-01-09 03:03:28.336604,Morning,Housekeeping
ST000477,2025-01-09 03:03:28.336604,Morning,Housekeeping
ST000593,2025-01-09 03:03:28.336604,Morning,Housekeeping
ST000674,2025-01-09 03:03:28.336604,Morning,Housekeeping
ST000059,2025-01-09 03:03:28.336604,Morning,Housekeeping
ST000989,2025-01-09 03:03:28.336604,Afternoon,Housekeeping
ST000207,2025-01-09 03:03:28.336604,Afternoon,Housekeeping
ST000758,2025-01-09 03:03:28.336604,Afternoon,Housekeeping
ST000397,2025-01-09 03:03:28.336604,Afternoon,Housekeeping
ST000022,2025-01-09 03:03:28.336604,Afternoon,Housekeeping
ST000114,2025-01-09 03:03:28.336604,Night,Housekeeping
ST000547,2025-01-09 03:03:28.336604,Night,Housekeeping
ST000538,2025-01-09 03:03:28.336604,Night,Housekeeping
ST000475,2025-01-09 03:03:28.336604,Night,Housekeeping
ST000154,2025-01-09 03:03:28.336604,Night,Housekeeping
ST000973,2025-01-09 03:03:28.336604,Morning,Spa & Wellness
ST000191,2025-01-09 03:03:28.336604,Morning,Spa & Wellness
ST000819,2025-01-09 03:03:28.336604,Morning,Spa & Wellness
ST000663,2025-01-09 03:03:28.336604,Afternoon,Spa & Wellness
ST000210,2025-01-09 03:03:28.336604,Afternoon,Spa & Wellness
ST000126,2025-01-09 03:03:28.336604,Afternoon,Spa & Wellness
ST000469,2025-01-09 03:03:28.336604,Night,Spa & Wellness
ST000858,2025-01-09 03:03:28.336604,Night,Spa & Wellness
ST000927,2025-01-09 03:03:28.336604,Night,Spa & Wellness
ST000354,2025-01-10 03:03:28.336604,Morning,Security
ST000694,2025-01-10 03:03:28.336604,Morning,Security
ST000936,2025-01-10 03:03:28.336604,Morning,Security
ST000214,2025-01-10 03:03:28.336604,Afternoon,Security
ST000453,2025-01-10 03:03:28.336604,Afternoon,Security
ST000113,2025-01-10 03:03:28.336604,Afternoon,Security
ST000354,2025-01-10 03:03:28.336604,Night,Security
ST000877,2025-01-10 03:03:28.336604,Night,Security
ST000102,2025-01-10 03:03:28.336604,Night,Security
ST000564,2025-01-10 03:03:28.336604,Morning,Maintenance
ST000208,2025-01-10 03:03:28.336604,Morning,Maintenance
ST000084,2025-01-10 03:03:28.336604,Afternoon,Maintenance
ST000602,2025-01-10 03:03:28.336604,Afternoon,Maintenance
ST000286,2025-01-10 03:03:28.336604,Night,Maintenance
ST000168,2025-01-10 03:03:28.336604,Night,Maintenance
ST000046,2025-01-10 03:03:28.336604,Morning,Front Desk
ST000339,2025-01-10 03:03:28.336604,Morning,Front Desk
ST000502,2025-01-10 03:03:28.336604,Morning,Front Desk
ST000917,2025-01-10 03:03:28.336604,Afternoon,Front Desk
ST000572,2025-01-10 03:03:28.336604,Afternoon,Front Desk
ST000531,2025-01-10 03:03:28.336604,Afternoon,Front Desk
ST000736,2025-01-10 03:03:28.336604,Night,Front Desk
ST000108,2025-01-10 03:03:28.336604,Night,Front Desk
ST000024,2025-01-10 03:03:28.336604,Night,Front Desk
ST000803,2025-01-10 03:03:28.336604,Morning,Administration
ST000647,2025-01-10 03:03:28.336604,Morning,Administration
ST000277,2025-01-10 03:03:28.336604,Afternoon,Administration
ST000621,2025-01-10 03:03:28.336604,Afternoon,Administration
ST000058,2025-01-10 03:03:28.336604,Night,Administration
ST000799,2025-01-10 03:03:28.336604,Night,Administration
ST000106,2025-01-10 03:03:28.336604,Morning,Food & Beverage
ST000700,2025-01-10 03:03:28.336604,Morning,Food & Beverage
ST000683,2025-01-10 03:03:28.336604,Morning,Food & Beverage
ST000640,2025-01-10 03:03:28.336604,Morning,Food & Beverage
ST000432,2025-01-10 03:03:28.336604,Afternoon,Food & Beverage
ST000591,2025-01-10 03:03:28.336604,Afternoon,Food & Beverage
ST000628,2025-01-10 03:03:28.336604,Afternoon,Food & Beverage
ST000914,2025-01-10 03:03:28.336604,Afternoon,Food & Beverage
ST000131,2025-01-10 03:03:28.336604,Night,Food & Beverage
ST000829,2025-01-10 03:03:28.336604,Night,Food & Beverage
ST000171,2025-01-10 03:03:28.336604,Night,Food & Beverage
ST000329,2025-01-10 03:03:28.336604,Night,Food & Beverage
ST000239,2025-01-10 03:03:28.336604,Morning,Housekeeping
ST000130,2025-01-10 03:03:28.336604,Morning,Housekeeping
ST000745,2025-01-10 03:03:28.336604,Morning,Housekeeping
