appointment_id,booking_id,customer_id,service_type,department,appointment_date,appointment_end,duration_minutes,description,cost,status,staff_id,staff_name
SA000030,BK000556,27891,Massage Therapy,Spa & Wellness,2025-01-06 09:30:00,2025-01-06 10:00:00,30,30-minute Sports Massage massage using Swedish techniques. Focus on Sport-Specific for Pain Relief.,93.65,Scheduled,ST000071,Staff Member
SA000031,BK000648,8079,Wellness Consultation,Spa & Wellness,2025-01-04 13:45:00,2025-01-04 14:30:00,45,45-minute Health Coaching consultation focusing on Stress Management. Lifestyle Enhancement.,148.63,Scheduled,ST000768,Staff Member
SA000032,BK000648,8079,Massage Therapy,Spa & Wellness,2025-01-04 14:30:00,2025-01-04 15:00:00,30,30-minute Relaxation massage using Trigger Point techniques. Focus on Tension Relief for Stress Reduction.,175.12,Scheduled,ST000768,Staff Member
SA000033,BK000759,13106,Wellness Consultation,Spa & Wellness,2025-01-24 09:00:00,2025-01-24 09:45:00,45,Comprehensive 45-minute Nutrition Planning assessment targeting Sleep Improvement. Expert Guidance.,114.82,Scheduled,ST000278,Staff Member
SA000034,BK000759,13106,Spa Treatment,Spa & Wellness,2025-01-24 09:45:00,2025-01-24 11:15:00,90,Luxurious 90-minute Aromatherapy treatment featuring Essential Oils and Traditional methods. Improved Circulation.,185.66,Scheduled,ST000278,Staff Member
SA000035,BK000759,13106,Massage Therapy,Spa & Wellness,2025-01-24 11:15:00,2025-01-24 11:45:00,30,Specialized Sports Massage therapy session for 30 minutes with Myofascial Release approach. Stress Reduction.,111.54,Scheduled,ST000278,Staff Member
SA000036,BK000775,9781,Massage Therapy,Spa & Wellness,2025-01-24 13:00:00,2025-01-24 13:30:00,30,Targeted 30-minute Therapeutic treatment employing Deep Tissue methods for Problem Areas. Improved Mobility.,150.02,Scheduled,ST000278,Staff Member
SA000037,BK000775,9781,Wellness Consultation,Spa & Wellness,2025-01-24 13:30:00,2025-01-24 14:15:00,45,In-depth Health Coaching session for 45 minutes addressing Work-Life Balance. Lifestyle Enhancement.,153.96,Scheduled,ST000278,Staff Member
SA000038,BK000817,20767,Spa Treatment,Spa & Wellness,2025-01-05 13:00:00,2025-01-05 14:00:00,60,Aromatherapy massage for 60 minutes using Eastern techniques with Essential Oils. Improved Circulation.,161.72,Scheduled,ST000822,Staff Member
SA000039,BK000840,47834,Spa Treatment,Spa & Wellness,2025-01-07 09:00:00,2025-01-07 11:00:00,120,Luxurious 120-minute Swedish treatment featuring Essential Oils and Western methods. Muscle Recovery.,146.69,Scheduled,ST000283,Staff Member
SA000040,BK000860,34385,Massage Therapy,Spa & Wellness,2025-01-31 09:00:00,2025-01-31 10:00:00,60,60-minute Sports Massage massage using Deep Tissue techniques. Focus on Full Body for Improved Mobility.,88.21,Scheduled,ST000361,Staff Member
SA000041,BK000860,34385,Wellness Consultation,Spa & Wellness,2025-01-31 10:00:00,2025-01-31 11:00:00,60,Comprehensive 60-minute Wellness Strategy assessment targeting Work-Life Balance. Actionable Goals.,91.95,Scheduled,ST000361,Staff Member
SA000042,BK000864,21954,Wellness Consultation,Spa & Wellness,2025-01-21 09:00:00,2025-01-21 09:45:00,45,45-minute Nutrition Planning consultation focusing on Sleep Improvement. Lifestyle Enhancement.,141.0,Scheduled,ST000962,Staff Member
SA000043,BK000864,21954,Wellness Consultation,Spa & Wellness,2025-01-21 09:45:00,2025-01-21 10:45:00,60,In-depth Nutrition Planning session for 60 minutes addressing Sleep Improvement. Personalized Plan.,159.85,Scheduled,ST000962,Staff Member
SA000044,BK000925,38745,Spa Treatment,Spa & Wellness,2025-01-26 09:00:00,2025-01-26 10:30:00,90,Premium Hot Stone experience for 90 minutes incorporating Modern massage with Luxury Oils. Improved Circulation.,244.12,Scheduled,ST000822,Staff Member
SA000045,BK000925,38745,Spa Treatment,Spa & Wellness,2025-01-26 10:30:00,2025-01-26 12:00:00,90,Premium Hot Stone experience for 90 minutes incorporating Modern massage with Essential Oils. Stress Relief.,157.98,Scheduled,ST000822,Staff Member
SA000046,BK000925,38745,Wellness Consultation,Spa & Wellness,2025-01-26 13:00:00,2025-01-26 14:00:00,60,Comprehensive 60-minute Wellness Strategy assessment targeting Diet Optimization. Actionable Goals.,155.64,Scheduled,ST000822,Staff Member
SA000047,BK000989,25783,Wellness Consultation,Spa & Wellness,2025-01-04 15:00:00,2025-01-04 16:00:00,60,Comprehensive 60-minute Wellness Strategy assessment targeting Work-Life Balance. Personalized Plan.,112.22,Scheduled,ST000768,Staff Member
SA000048,BK000989,25783,Wellness Consultation,Spa & Wellness,2025-01-04 16:00:00,2025-01-04 17:00:00,60,Comprehensive 60-minute Wellness Strategy assessment targeting Diet Optimization. Expert Guidance.,120.85,Scheduled,ST000768,Staff Member
SA000049,BK001028,29139,Massage Therapy,Spa & Wellness,2025-01-26 14:00:00,2025-01-26 14:30:00,30,30-minute Sports Massage massage using Deep Tissue techniques. Focus on Full Body for Improved Mobility.,132.59,Scheduled,ST000822,Staff Member
SA000050,BK001028,29139,Spa Treatment,Spa & Wellness,2025-01-26 14:30:00,2025-01-26 16:30:00,120,Aromatherapy massage for 120 minutes using Traditional techniques with Herbal Products. Relaxation.,156.89,Scheduled,ST000822,Staff Member
SA000051,BK001032,18678,Massage Therapy,Spa & Wellness,2025-01-05 14:00:00,2025-01-05 15:00:00,60,60-minute Recovery massage using Myofascial Release techniques. Focus on Sport-Specific for Stress Reduction.,183.85,Scheduled,ST000822,Staff Member
SA000052,BK001106,6173,Wellness Consultation,Spa & Wellness,2025-01-04 09:00:00,2025-01-04 09:45:00,45,45-minute Lifestyle Assessment consultation focusing on Diet Optimization. Personalized Plan.,151.84,Scheduled,ST000210,Staff Member
SA000053,BK001211,47066,Massage Therapy,Spa & Wellness,2025-01-20 14:00:00,2025-01-20 14:30:00,30,Specialized Sports Massage therapy session for 30 minutes with Deep Tissue approach. Stress Reduction.,163.77,Scheduled,ST000879,Staff Member
SA000054,BK001211,47066,Massage Therapy,Spa & Wellness,2025-01-20 14:30:00,2025-01-20 16:00:00,90,Specialized Therapeutic therapy session for 90 minutes with Trigger Point approach. Faster Recovery.,122.56,Scheduled,ST000879,Staff Member
SA000055,BK001254,43334,Wellness Consultation,Spa & Wellness,2025-01-13 09:00:00,2025-01-13 09:45:00,45,Comprehensive 45-minute Nutrition Planning assessment targeting Stress Management. Lifestyle Enhancement.,103.07,Scheduled,ST000298,Staff Member
SA000056,BK001372,46634,Spa Treatment,Spa & Wellness,2025-01-20 16:00:00,2025-01-20 17:00:00,60,Deep Tissue massage for 60 minutes using Modern techniques with Essential Oils. Muscle Recovery.,210.48,Scheduled,ST000879,Staff Member
SA000057,BK001381,6050,Wellness Consultation,Spa & Wellness,2025-01-26 09:00:00,2025-01-26 09:45:00,45,Comprehensive 45-minute Lifestyle Assessment assessment targeting Sleep Improvement. Personalized Plan.,134.62,Scheduled,ST000227,Staff Member
SA000058,BK001393,21593,Wellness Consultation,Spa & Wellness,2025-01-30 09:45:00,2025-01-30 10:30:00,45,Comprehensive 45-minute Nutrition Planning assessment targeting Sleep Improvement. Expert Guidance.,99.06,Scheduled,ST000973,Staff Member
SA000059,BK001424,24866,Massage Therapy,Spa & Wellness,2025-01-14 09:00:00,2025-01-14 09:30:00,30,Targeted 30-minute Relaxation treatment employing Swedish methods for Problem Areas. Improved Mobility.,184.46,Scheduled,ST000941,Staff Member
SA000060,BK001455,29525,Spa Treatment,Spa & Wellness,2025-01-29 10:30:00,2025-01-29 12:00:00,90,Hot Stone massage for 90 minutes using Modern techniques with Luxury Oils. Stress Relief.,174.65,Scheduled,ST000021,Staff Member
SA000061,BK001461,9347,Spa Treatment,Spa & Wellness,2025-01-10 09:00:00,2025-01-10 11:00:00,120,Luxurious 120-minute Hot Stone treatment featuring Herbal Products and Eastern methods. Improved Circulation.,258.21,Scheduled,ST000929,Staff Member
SA000062,BK001465,28596,Spa Treatment,Spa & Wellness,2025-01-14 09:30:00,2025-01-14 10:30:00,60,Deep Tissue massage for 60 minutes using Eastern techniques with Organic Products. Improved Circulation.,188.05,Scheduled,ST000941,Staff Member
SA000063,BK001553,48458,Wellness Consultation,Spa & Wellness,2025-01-17 09:00:00,2025-01-17 10:00:00,60,Comprehensive 60-minute Lifestyle Assessment assessment targeting Work-Life Balance. Lifestyle Enhancement.,138.21,Scheduled,ST000262,Staff Member
SA000064,BK001553,48458,Wellness Consultation,Spa & Wellness,2025-01-17 10:00:00,2025-01-17 10:45:00,45,Comprehensive 45-minute Lifestyle Assessment assessment targeting Diet Optimization. Lifestyle Enhancement.,176.62,Scheduled,ST000262,Staff Member
SA000065,BK001577,7854,Massage Therapy,Spa & Wellness,2025-01-23 10:45:00,2025-01-23 11:45:00,60,Specialized Recovery therapy session for 60 minutes with Myofascial Release approach. Pain Relief.,172.46,Scheduled,ST000361,Staff Member
SA000066,BK001606,15734,Spa Treatment,Spa & Wellness,2025-02-01 13:00:00,2025-02-01 14:30:00,90,Luxurious 90-minute Deep Tissue treatment featuring Essential Oils and Modern methods. Muscle Recovery.,206.51,Scheduled,ST000731,Staff Member
SA000067,BK001606,15734,Spa Treatment,Spa & Wellness,2025-02-01 14:30:00,2025-02-01 16:30:00,120,Luxurious 120-minute Deep Tissue treatment featuring Essential Oils and Eastern methods. Stress Relief.,137.31,Scheduled,ST000731,Staff Member
SA000068,BK001637,3819,Spa Treatment,Spa & Wellness,2025-01-09 10:00:00,2025-01-09 11:00:00,60,Deep Tissue massage for 60 minutes using Modern techniques with Luxury Oils. Stress Relief.,188.25,Scheduled,ST000973,Staff Member
SA000069,BK001675,30751,Wellness Consultation,Spa & Wellness,2025-01-30 10:30:00,2025-01-30 11:15:00,45,45-minute Nutrition Planning consultation focusing on Stress Management. Actionable Goals.,126.85,Scheduled,ST000973,Staff Member
SA000070,BK001675,30751,Massage Therapy,Spa & Wellness,2025-01-30 13:00:00,2025-01-30 14:30:00,90,Targeted 90-minute Recovery treatment employing Myofascial Release methods for Tension Relief. Pain Relief.,146.77,Scheduled,ST000973,Staff Member
SA000071,BK001691,45800,Spa Treatment,Spa & Wellness,2025-01-19 09:00:00,2025-01-19 10:30:00,90,Luxurious 90-minute Hot Stone treatment featuring Organic Products and Traditional methods. Improved Circulation.,226.95,Scheduled,ST000739,Staff Member
SA000072,BK001691,45800,Wellness Consultation,Spa & Wellness,2025-01-19 10:30:00,2025-01-19 11:15:00,45,In-depth Health Coaching session for 45 minutes addressing Stress Management. Actionable Goals.,149.63,Scheduled,ST000739,Staff Member
SA000073,BK001728,2975,Spa Treatment,Spa & Wellness,2025-01-14 10:30:00,2025-01-14 11:30:00,60,Swedish massage for 60 minutes using Western techniques with Luxury Oils. Relaxation.,140.28,Scheduled,ST000941,Staff Member
SA000074,BK001749,12474,Spa Treatment,Spa & Wellness,2025-01-31 11:00:00,2025-01-31 12:00:00,60,Premium Swedish experience for 60 minutes incorporating Eastern massage with Herbal Products. Relaxation.,171.47,Scheduled,ST000361,Staff Member
SA000075,BK001915,49556,Wellness Consultation,Spa & Wellness,2025-01-17 10:45:00,2025-01-17 11:45:00,60,Comprehensive 60-minute Health Coaching assessment targeting Diet Optimization. Lifestyle Enhancement.,162.6,Scheduled,ST000262,Staff Member
SA000076,BK001915,49556,Massage Therapy,Spa & Wellness,2025-01-17 13:00:00,2025-01-17 14:30:00,90,90-minute Therapeutic massage using Swedish techniques. Focus on Tension Relief for Stress Reduction.,149.47,Scheduled,ST000262,Staff Member
SA000077,BK001915,49556,Massage Therapy,Spa & Wellness,2025-01-17 14:30:00,2025-01-17 15:30:00,60,60-minute Sports Massage massage using Myofascial Release techniques. Focus on Full Body for Improved Mobility.,131.81,Scheduled,ST000262,Staff Member
SA000078,BK001929,17673,Spa Treatment,Spa & Wellness,2025-01-04 09:45:00,2025-01-04 11:45:00,120,Luxurious 120-minute Hot Stone treatment featuring Essential Oils and Western methods. Stress Relief.,266.03,Scheduled,ST000210,Staff Member
SA000079,BK001934,47609,Spa Treatment,Spa & Wellness,2025-01-05 15:00:00,2025-01-05 16:30:00,90,Premium Hot Stone experience for 90 minutes incorporating Eastern massage with Herbal Products. Muscle Recovery.,202.01,Scheduled,ST000822,Staff Member
SA000080,BK001934,47609,Wellness Consultation,Spa & Wellness,2025-01-05 09:00:00,2025-01-05 10:00:00,60,Comprehensive 60-minute Nutrition Planning assessment targeting Diet Optimization. Lifestyle Enhancement.,91.29,Scheduled,ST000768,Staff Member
SA000081,BK001944,26582,Massage Therapy,Spa & Wellness,2025-01-08 09:00:00,2025-01-08 09:30:00,30,Specialized Relaxation therapy session for 30 minutes with Swedish approach. Improved Mobility.,160.93,Scheduled,ST000973,Staff Member
SA000082,BK001957,6816,Spa Treatment,Spa & Wellness,2025-01-10 13:00:00,2025-01-10 15:00:00,120,Aromatherapy massage for 120 minutes using Traditional techniques with Organic Products. Muscle Recovery.,232.95,Scheduled,ST000929,Staff Member
SA000083,BK001964,5173,Massage Therapy,Spa & Wellness,2025-01-18 09:00:00,2025-01-18 09:30:00,30,Targeted 30-minute Sports Massage treatment employing Trigger Point methods for Problem Areas. Improved Mobility.,124.41,Scheduled,ST000510,Staff Member
SA000084,BK001994,4829,Spa Treatment,Spa & Wellness,2025-01-19 13:00:00,2025-01-19 14:00:00,60,Luxurious 60-minute Swedish treatment featuring Luxury Oils and Eastern methods. Relaxation.,128.3,Scheduled,ST000739,Staff Member
SA000085,BK002040,30439,Massage Therapy,Spa & Wellness,2025-01-08 09:30:00,2025-01-08 11:00:00,90,Specialized Recovery therapy session for 90 minutes with Swedish approach. Faster Recovery.,163.4,Scheduled,ST000973,Staff Member
SA000086,BK002040,30439,Spa Treatment,Spa & Wellness,2025-01-08 13:00:00,2025-01-08 15:00:00,120,Premium Deep Tissue experience for 120 minutes incorporating Modern massage with Herbal Products. Stress Relief.,131.44,Scheduled,ST000973,Staff Member
SA000087,BK002042,32235,Spa Treatment,Spa & Wellness,2025-01-08 15:00:00,2025-01-08 17:00:00,120,Swedish massage for 120 minutes using Traditional techniques with Organic Products. Improved Circulation.,248.11,Scheduled,ST000973,Staff Member
SA000088,BK002042,32235,Wellness Consultation,Spa & Wellness,2025-01-08 11:00:00,2025-01-08 11:45:00,45,45-minute Wellness Strategy consultation focusing on Stress Management. Personalized Plan.,147.88,Scheduled,ST000973,Staff Member
SA000089,BK002062,829,Spa Treatment,Spa & Wellness,2025-01-12 09:00:00,2025-01-12 11:00:00,120,Premium Deep Tissue experience for 120 minutes incorporating Western massage with Luxury Oils. Improved Circulation.,294.25,Scheduled,ST000898,Staff Member
SA000090,BK002104,23061,Spa Treatment,Spa & Wellness,2025-01-04 13:00:00,2025-01-04 15:00:00,120,Premium Swedish experience for 120 minutes incorporating Modern massage with Essential Oils. Relaxation.,225.08,Scheduled,ST000210,Staff Member
SA000091,BK002143,8812,Wellness Consultation,Spa & Wellness,2025-01-06 10:00:00,2025-01-06 11:00:00,60,60-minute Wellness Strategy consultation focusing on Work-Life Balance. Personalized Plan.,112.29,Scheduled,ST000071,Staff Member
SA000092,BK002143,8812,Wellness Consultation,Spa & Wellness,2025-01-06 11:00:00,2025-01-06 12:00:00,60,Comprehensive 60-minute Lifestyle Assessment assessment targeting Diet Optimization. Expert Guidance.,127.36,Scheduled,ST000071,Staff Member
SA000093,BK002143,8812,Wellness Consultation,Spa & Wellness,2025-01-06 13:00:00,2025-01-06 14:00:00,60,60-minute Lifestyle Assessment consultation focusing on Work-Life Balance. Expert Guidance.,108.73,Scheduled,ST000071,Staff Member
SA000094,BK002157,39962,Spa Treatment,Spa & Wellness,2025-01-04 15:00:00,2025-01-04 17:00:00,120,Luxurious 120-minute Aromatherapy treatment featuring Organic Products and Western methods. Improved Circulation.,285.98,Scheduled,ST000210,Staff Member
SA000095,BK002183,41517,Wellness Consultation,Spa & Wellness,2025-01-30 11:15:00,2025-01-30 12:00:00,45,Comprehensive 45-minute Health Coaching assessment targeting Sleep Improvement. Expert Guidance.,166.38,Scheduled,ST000973,Staff Member
SA000096,BK002192,2317,Massage Therapy,Spa & Wellness,2025-01-04 09:00:00,2025-01-04 10:30:00,90,Targeted 90-minute Therapeutic treatment employing Trigger Point methods for Problem Areas. Stress Reduction.,148.02,Scheduled,ST000596,Staff Member
SA000097,BK002234,38151,Wellness Consultation,Spa & Wellness,2025-01-11 09:00:00,2025-01-11 10:00:00,60,In-depth Health Coaching session for 60 minutes addressing Sleep Improvement. Actionable Goals.,118.08,Scheduled,ST000532,Staff Member
SA000098,BK002283,13038,Wellness Consultation,Spa & Wellness,2025-01-19 11:15:00,2025-01-19 12:00:00,45,45-minute Nutrition Planning consultation focusing on Work-Life Balance. Lifestyle Enhancement.,136.37,Scheduled,ST000739,Staff Member
SA000099,BK002283,13038,Spa Treatment,Spa & Wellness,2025-01-19 14:00:00,2025-01-19 15:30:00,90,Swedish massage for 90 minutes using Western techniques with Essential Oils. Relaxation.,236.95,Scheduled,ST000739,Staff Member
SA000100,BK002316,28109,Wellness Consultation,Spa & Wellness,2025-01-08 09:00:00,2025-01-08 09:45:00,45,Comprehensive 45-minute Wellness Strategy assessment targeting Diet Optimization. Personalized Plan.,102.54,Scheduled,ST000510,Staff Member
SA000101,BK002334,24748,Wellness Consultation,Spa & Wellness,2025-01-24 14:15:00,2025-01-24 15:15:00,60,Comprehensive 60-minute Wellness Strategy assessment targeting Work-Life Balance. Expert Guidance.,109.62,Scheduled,ST000278,Staff Member
SA000102,BK002439,2372,Wellness Consultation,Spa & Wellness,2025-02-03 09:00:00,2025-02-03 09:45:00,45,Comprehensive 45-minute Nutrition Planning assessment targeting Diet Optimization. Lifestyle Enhancement.,107.08,Scheduled,ST000105,Staff Member
SA000103,BK002555,13119,Spa Treatment,Spa & Wellness,2025-01-30 14:30:00,2025-01-30 16:00:00,90,Premium Swedish experience for 90 minutes incorporating Modern massage with Herbal Products. Improved Circulation.,165.73,Scheduled,ST000973,Staff Member
SA000104,BK002555,13119,Massage Therapy,Spa & Wellness,2025-01-30 16:00:00,2025-01-30 17:00:00,60,Targeted 60-minute Sports Massage treatment employing Deep Tissue methods for Full Body. Stress Reduction.,106.72,Scheduled,ST000973,Staff Member
SA000105,BK002559,26187,Spa Treatment,Spa & Wellness,2025-01-04 10:30:00,2025-01-04 11:30:00,60,Aromatherapy massage for 60 minutes using Modern techniques with Luxury Oils. Relaxation.,206.86,Scheduled,ST000596,Staff Member
SA000106,BK002670,8833,Massage Therapy,Spa & Wellness,2025-02-01 11:00:00,2025-02-01 11:30:00,30,Targeted 30-minute Sports Massage treatment employing Trigger Point methods for Sport-Specific. Faster Recovery.,81.38,Scheduled,ST000731,Staff Member
SA000107,BK002695,29602,Spa Treatment,Spa & Wellness,2025-01-18 09:30:00,2025-01-18 10:30:00,60,Deep Tissue massage for 60 minutes using Modern techniques with Herbal Products. Muscle Recovery.,225.86,Scheduled,ST000510,Staff Member
SA000108,BK002774,16733,Wellness Consultation,Spa & Wellness,2025-02-02 11:00:00,2025-02-02 12:00:00,60,Comprehensive 60-minute Nutrition Planning assessment targeting Stress Management. Lifestyle Enhancement.,127.6,Scheduled,ST000318,Staff Member
SA000109,BK002814,42861,Spa Treatment,Spa & Wellness,2025-01-04 13:00:00,2025-01-04 14:30:00,90,Swedish massage for 90 minutes using Traditional techniques with Herbal Products. Improved Circulation.,155.17,Scheduled,ST000596,Staff Member
SA000110,BK002814,42861,Wellness Consultation,Spa & Wellness,2025-01-04 14:30:00,2025-01-04 15:30:00,60,60-minute Health Coaching consultation focusing on Sleep Improvement. Actionable Goals.,148.34,Scheduled,ST000596,Staff Member
SA000111,BK002873,21618,Wellness Consultation,Spa & Wellness,2025-01-12 11:00:00,2025-01-12 11:45:00,45,Comprehensive 45-minute Health Coaching assessment targeting Sleep Improvement. Expert Guidance.,147.46,Scheduled,ST000898,Staff Member
SA000112,BK002881,904,Massage Therapy,Spa & Wellness,2025-01-04 11:30:00,2025-01-04 12:00:00,30,Specialized Recovery therapy session for 30 minutes with Myofascial Release approach. Improved Mobility.,87.26,Scheduled,ST000596,Staff Member
SA000113,BK002881,904,Wellness Consultation,Spa & Wellness,2025-01-04 15:30:00,2025-01-04 16:30:00,60,60-minute Lifestyle Assessment consultation focusing on Stress Management. Personalized Plan.,94.36,Scheduled,ST000596,Staff Member
SA000114,BK002991,44840,Massage Therapy,Spa & Wellness,2025-01-04 09:00:00,2025-01-04 10:00:00,60,Specialized Relaxation therapy session for 60 minutes with Trigger Point approach. Improved Mobility.,170.01,Scheduled,ST000227,Staff Member
